Year	Date	Location	Score	Result
1992	13 Apr	Athens (GRE)	2-1	Win
1992	14 Apr	Athens (GRE)	3-0	Win
1992	15 Apr	Athens (GRE)	2-0	Win
1992	16 Apr	Athens (GRE)	3–0	Win
1992	17 Apr	Athens (GRE)	2-1	Win
1992	18 Apr	Athens (GRE)	1–2	Loss
1993	11 May	Nottingham (ENG)	3–0	Win
1993	12 May	Nottingham (ENG)	3–0	Win
1993	13 May	Nottingham (ENG)	3–0	Win
1993	15 May	Nottingham (ENG)	2–1	Win
1993	20 Jul	Frankfurt (GER)	0–3	Loss
1993	22 Jul	Frankfurt (GER)	3–2	Win
1994	19 Jul	Frankfurt (GER)	1–2	Loss
1995	17 Apr	Murcia (ESP)	1–2	Loss
1995	18 Apr	Murcia (ESP)	3–0	Win
1995	19 Apr	Murcia (ESP)	1–2	Loss
1996	22 Apr	Murcia (ESP)	3-0	Win
1996	23 Apr	Murcia (ESP)	3–0	Win
1996	24 Apr	Murcia (ESP)	1–2	Loss
1996	25 Apr	Murcia (ESP)	3-0	Win
1996	26 Apr	Murcia (ESP)	2-1	Win
1996	13–14 July	Viña del Mar (CHI)	5-0	Win
1997	1–2 March	Zagreb (CRO)	4-1	Win
1997	12–13 July	Frankfurt (GER)	2–3	Loss
1998	25–26 Apr	Dubrovnik (CRO)	4-1	Win
1998	25–26 Jul	Bol (CRO)	3–2	Win
1999	17–18 Apr	Raleigh, NC (USA)	0-5	Loss
