Date	Visitor	Score	Home	Record
November 3, 1976	San Antonio Spurs	97-113	Indiana Pacers	2-5
November 5, 1976	San Antonio Spurs	119–127	New Orleans Jazz	2–6
November 6, 1976	Indiana Pacers	94–113	San Antonio Spurs	3-6
November 9, 1976	Seattle SuperSonics	114–138	San Antonio Spurs	4–6
November 11, 1976	New York Nets	104–108	San Antonio Spurs	5–6
November 13, 1976	Portland Trail Blazers	101–113	San Antonio Spurs	6–6
November 16, 1976	Buffalo Braves	112–114	San Antonio Spurs	7–6
November 18, 1976	Kansas City Kings	104–129	San Antonio Spurs	8–6
November 20, 1976	San Antonio Spurs	103–109	Washington Bullets	8–7
November 23, 1976	San Antonio Spurs	122–115	Buffalo Braves	9–7
November 24, 1976	San Antonio Spurs	91–99	New York Nets	9–8
November 26, 1976	Golden State Warriors	121–123	San Antonio Spurs	10–8
November 27, 1976	San Antonio Spurs	89–75	Houston Rockets	10–9
November 30, 1976	Detroit Pistons	129–130	San Antonio Spurs	11–9
