Place	Player	Country	Score	To par
1	Hubert Green	United States	68-67-72=208	–2
2	Andy Bean	United States	71-70-68=209	–1
T3	Terry Diehl	United States	69-68-73=210	E
T3	Gary Jacobsen	United States	73-70-67=210	E
T3	Don Padgett	United States	70-74-66=210	E
T3	Gary Player	South Africa	72-67-71=210	E
T3	Tom Purtzer	United States	69-69-72=210	E
T3	Tom Weiskopf	United States	71-71-68=210	E
T10	Wally Armstrong	United States	71-70-70=211	+1
T10	Rod Funseth	United States	69-70-72=211	+1
T10	Lou Graham	United States	72-71-68=211	+1
T10	Jay Haas	United States	72-68-71=211	+1
