Game	Date	Opponent	Result	Giants' points	Opponents' Points	Record	TV Time	Attendance
1	Sept. 10	at Denver Broncos	Loss	20	31	0–1	ABC 9:00et/7:00mt	75,735
2	Sept. 23	at Kansas City Chiefs	Win	13	3	1–1	FOX 1:00et/12:00ct	77,666
3	Sept. 30	New Orleans Saints	Win	21	13	2–1	FOX 1:00et	78,451
4	Oct. 7	Washington Redskins	Win	23	9	3–1	FOX 1:00et	78,651
5	Oct. 14	at St. Louis Rams	Loss	14	15	3–2	FOX 1:00et/12:00ct	65,992
6	Oct. 22	Philadelphia Eagles	Loss	9	10	3–3	ABC 9:00et	78,821
7	Oct. 28	at Washington Redskins	Loss	21	35	3–4	FOX 4:00et	80,316
8	Nov. 4	Dallas Cowboys	Win	27	24	4–4	FOX 1:00et	78,673
9	Nov. 11	at Arizona Cardinals	Win	17	10	5–4	FOX 4:00et/2:00mt	36,917
10	Nov. 19	at Minnesota Vikings	Loss	16	28	5–5	ABC 9:00et/8:00ct	64,283
11	Nov. 25	Oakland Raiders	Loss	10	28	5–6	CBS 4:00et	78,756
12	Bye	Bye	Bye	Bye	Bye	Bye	Bye	Bye
13	Dec. 9	at Dallas Cowboys	Loss	13	20	5–7	FOX 1:00et/12:00ct	61,821
14	Dec. 15	Arizona Cardinals	Win	17	13	6–7	FOX 12:30et	77,913
15	Dec. 23	Seattle Seahawks	Win	27	24	7–7	CBS 1:00et	78,119
16	Dec. 30	at Philadelphia Eagles	Loss	21	24	7–8	FOX 4:00et	65,885
17	Jan. 6	Green Bay Packers	Loss	25	34	7–9	FOX 1:00et	78,601
