Round	Pick #	Player	Position	Nationality	College/junior/club team (league)
1	26	Stefan Bergqvist	Defense	Sweden	Leksands IF ( SEL )
2	52	Domenic Pittis	Center	Canada	Lethbridge Hurricanes ( WHL )
3	62 [a ]	Dave Roche	Left Wing	Canada	Peterborough Petes ( OHL )
4	104	Jonas Andersson-Junkka	Defense	Sweden	Kiruna (Sweden)
5	130	Chris Kelleher	Defense	United States	Saint Sebastian's (Mass. H.S.)
6	156	Patrick Lalime	Goaltender	Canada	Shawinigan Cataractes ( QMJHL )
7	182	Sean Selmser	Left Wing	Canada	Red Deer Rebels (WHL)
8	208	Larry Mcmorran	Center	Canada	Seattle Thunderbirds (WHL)
9	234	Timothy Harberts	Center	United States	Wayzata H.S. (Minn)
10	260	Leonid Toropchenko	Center	Russia	Springfield Indians ( AHL )
