Nation	Model	Length	Barrel length	Weight
Denmark	Rifle 1889	1328mm / 52.28 in	832mm / 32.78 in	4.275kg / 9.5lb
Denmark	Carbine 1889	1100mm / 43.3 in	610mm / 24 in	3.96kg / 8.8lb
Denmark	Sniper Rifle 1928	1168mm / 46 in	675mm / 26.6 in	5.265kg / 11.7lb
USA	M1892 Rifle	1244.6mm / 49 in	762mm / 30 in	4.221kg / 9.38lb
USA	M1892 Carbine	1046.5mm / 41.2 in	558.8mm / 22 in	3.735kg / 8.3lb
USA	M1896 Rifle	1244.6mm / 49 in	762mm / 30 in	4.023kg / 8.94lb
USA	M1896 Cadet Rifle	1244.6mm / 49 in	762mm / 30 in	4.05kg / 9.0lb
USA	M1896 Carbine	1046.5mm / 41.2 in	558.8mm / 22 in	3.488kg / 7.75lb
USA	M1898 Rifle	1247.1mm / 49.1 in	762mm / 30 in	4.05kg 9.0lb
USA	M1898 Carbine	1046.5mm / 41.2 in	558.8mm / 22 in	3.51kg / 7.8lb
USA	M1899 Carbine	1046.5mm / 41.2 in	558.8mm / 22 in	3.542kg / 7.87lb
USA	M1899 Constable Carbine	1046.5mm / 41.2 in	558.8mm / 22 in	3.614 kg / 8.03lb
Norway	M1894 Rifle	1267,5mm / 49.9 in	760mm / 29.9 in	4.221kg / 9.38lb
Norway	M1895 & M1897 Carbine	1016mm / 40 in	520mm / 20.5 in	3.375kg / 7.5lb
Norway	M1904 & M1907 Carbine	1016mm / 40 in	520mm / 20.5 in	3.78kg / 8.4lb
Norway	M1906 Boy's Carbine	986mm / 38.8 in	520mm / 20.5 in	3.375kg / 7.5lb
Norway	M1912 Short Rifle	1107mm / 43.6 in	610mm / 24 in	3.96kg / 8.8lb
Norway	M1923 Sniper Rifle	1117mm / 44 in	610mm / 24 in	4.05kg / 9.0lb
Norway	M1925 Sniper Rifle	1117mm / 44 in	610mm / 24 in	4.455kg / 9.9lb
Norway	M1930 Sniper Rifle	1220mm / 48 in	750mm / 29.5 in	5.157kg / 11.46lb
