Pick #	NFL Team	Player	Position	College
11	Los Angeles Raiders	Anthony Smith	Defensive End	Arizona
38	Los Angeles Raiders	Aaron Wallace	Defensive End	Texas A&M
96	Los Angeles Raiders	Torin Dorn	Cornerback	North Carolina
124	Los Angeles Raiders	Stan Smagala	Defensive Back	Notre Dame
150	Los Angeles Raiders	Marcus Wilson	Running Back	Virginia
174	Los Angeles Raiders	Garry Lewis	Cornerback	Alcorn State
198	Los Angeles Raiders	Arthur Jimerson	Defensive End	Norfolk State
231	Los Angeles Raiders	Leon Perry	Running Back	Oklahoma
304	Los Angeles Raiders	Ron Lewis	Wide Receiver	Jackson State
305	Los Angeles Raiders	Myron Jones	Running Back	Fresno State
