City	Province/Region	Country	IATA	ICAO	Airport
Hachijōjima	Kantō	Japan	HAC	RJTH	Hachijojima Airport
Miyakejima	Kantō	Japan	MYE	RJTQ	Miyakejima Airport
Ōshima	Kantō	Japan	OIM	RJTO	Oshima Airport
Komatsu	Chūbu	Japan	KMQ	RJNK	Komatsu Airport
Niigata	Chūbu	Japan	KIJ	RJSN	Niigata Airport
Shizouka	Chūbu	Japan	FSZ	RJNS	Shizuoka Airport
Toyama	Chūbu	Japan	TOY	RJNT	Toyama Airport
Wajima	Chūbu	Japan	NTQ	RJNW	Noto Airport
Kobe	Kansai	Japan	UKB	RJBE	Kobe Airport
Hiroshima	Chūgoku	Japan	HIJ	RJOA	Hiroshima Airport
Iwakuni	Chūgoku	Japan	IWK	RJOI	Marine Corps Air Station Iwakuni
Okayama	Chūgoku	Japan	OKJ	RJOB	Okayama Airport
Ōnan / Hagi	Chūgoku	Japan	IWJ	RJOW	Iwami Airport
Tottori	Chūgoku	Japan	TTJ	RJOR	Tottori Airport
Yonago	Chūgoku	Japan	YGJ	RJOH	Miho-Yonago Airport
Yamaguchi - Ube	Chūgoku	Japan	UBJ	RJDC	Yamaguchi Ube Airport
Akita	Tōhoku	Japan	AXT	RJSK	Akita Airport
Fukushima	Tōhoku	Japan	FKS	RJSF	Fukushima Airport
Odate	Tōhoku	Japan	ONJ	RJSR	Odate-Noshiro Airport
Sendai	Tōhoku	Japan	SDJ	RJSS	Sendai Airport
Shōnai	Tōhoku	Japan	SYO	RJSY	Shonai Airport
Asahikawa	Hokkaidō	Japan	AKJ	RJEC	Asahikawa Airport
Hakodate	Hokkaidō	Japan	HKD	RJCH	Hakodate Airport
Kushiro	Hokkaidō	Japan	KUH	RJCK	Kushiro Airport
Monbetsu	Hokkaidō	Japan	MBE	RJEB	Monbetsu Airport
Nakashibetsu	Hokkaidō	Japan	SHB	RJCN	Nakashibetsu Airport
Ōzora	Hokkaidō	Japan	MMB	RJCM	Memanbetsu Airport
Rishiri Island	Hokkaidō	Japan	RIS	RJER	Rishiri Airport
Sapporo	Hokkaidō	Japan	CTS	RJCC	New Chitose Airport
Wakkanai	Hokkaidō	Japan	WKJ	RJCW	Wakkanai Airport
