Rank	Name	Location	State	Designer, Year
1	Pine Valley	Pine Valley	New Jersey	George Crump / Harry Colt , 1918
2	Cypress Point	Pebble Beach	California	Alister MacKenzie , 1918
3	Augusta National	Augusta	Georgia	Alister MacKenzie / Bobby Jones , 1933
4	Pebble Beach	Pebble Beach	California	Jack Neville/Douglas Grant, 1919
5	Shinnecock Hills	Southampton	New York	William Flynn, 1931
6	Oakmont	Oakmont	Pennsylvania	Henry Fownes, 1903
7	Merion (East)	Ardmore	Pennsylvania	Hugh Wilson, 1912
8	Sand Hills	Mullen	Nebraska	Bill Coore/ Ben Crenshaw , 1994
9	Pacific Dunes	Bandon	Oregon	Tom Doak , 2001
10	National Golf Links of America	Southampton	New York	Charles B. Macdonald , 1911
