Year	Program Title	Placement	Score	Class
1995	A New Beginning	4th	82.65	PIM
1996	Color of Rhythm	1st	95.10	PIM
1997	A Different Drum	1st	96.25	PIW
1998	Vodun	1st	95.30	PIW
1999	From Dawn Till Dusk: The Serengeti	2nd	95.15	PIW
2000	The Four Elements	4th	91.85	PIW
2001	Strength & Honor	1st	96.50	PIW
2002	The Persistance of Time	3rd	94.20	PIW
2003	Reflections	4th	93.45	PIW
2004	Se7en	1st	95.85	PIW
2005	Cosmic Proportions	3rd	95.25	PIW
2006	McM Traveling Sideshow	1st	96.20	PIW
2007	E=McM	2nd	96.30	PIW
2008	The Adventures of...	4th	94.60	PIW
2009	Requiem	3rd	96.225	PIW
2010	Fantastique	3rd	95.513	PIW
2011	Mantra	1st	97.050	PIW
2012	Nü-Tribe	2nd	95.500	PIW
2013	Taboo	3rd	96.125	PIW
