Show	Date	Official ratings (millions)	Weekly rank	Share
Auditions 1	12 April	9.44	6	37.0%
Auditions 2	19 April	10.96	1	43.3%
Auditions 3	26 April	9.86	3	41.3%
Auditions 4	3 May	9.12	5	39.1%
Auditions 5	10 May	8.17	6	37.9%
Auditions 6	17 May	9.11	2	37.5%
Auditions 7	24 May	8.27	5	37.2%
Semi-final 1	26 May	11.33	4	42.0%
Semi-final 2	27 May	9.29	9	35.3%
Semi-final 3	28 May	10.03	6	35.9%
Semi-final 4	29 May	10.13	5	41.9%
Semi-final 5	30 May	11.86	2	50.0%
Live final	31 May	11.52	3	51.1%
Live final results	31 May	13.88	1	55.1%
Series average	2008	10.21	TBC	41.8%
