Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	RCD Mallorca	30	42	18	6	6	37	23	+14
2	CD Málaga	30	38	16	6	8	49	26	+23
3	Real Valladolid	30	35	15	5	10	47	24	+23
4	Hércules CF	30	34	16	2	12	55	36	+19
5	Atlético Ceuta	30	32	13	6	11	39	38	+1
6	CF Calvo Sotelo	30	32	13	6	11	40	42	-2
7	Granada CF	30	32	11	10	9	45	35	+10
8	CD Mestalla	30	31	13	5	12	37	41	-4
9	Recreativo de Huelva	30	31	13	5	12	37	35	+2
10	Algeciras CF	30	28	12	4	14	30	30	0
11	CD Tenerife	30	28	11	6	13	24	33	-9
12	Melilla CF	30	27	10	7	13	24	34	-10
13	CD Constancia	30	26	9	8	13	31	41	-10
14	Cádiz CF	30	25	8	9	13	35	44	-9
15	Onteniente CF	30	21	8	5	17	35	50	-15
16	CD Abarán	30	18	6	6	18	20	53	-33
