Date	Opponent	Score	Loss	Time	Att.	Record
April 3	Twins	3-2	Weaver (0-1)	2:32	40,104	0-1
April 5	Twins	9-5 (10)	Jones (0-1)	3:12	20,836	0-2
April 6	@ White Sox	10-9 (10)	Foulke (0-1)	3:38	43,954	1-2
April 7	@ White Sox	5-3	Buehrle (0-1)	2:31	20,264	2-2
April 8	@ White Sox	5-3	Wells (1-1)	2:49	19,887	3-2
April 9	@ Twins	11-5	Sparks (0-1)	3:01	46,101	3-3
April 10	@ Twins	8-2	Perisho (0-1)	2:43	9,130	3-4
April 11	@ Twins	12-1	Mlicki (0-1)	2:47	11,149	3-5
April 12	Indians	5-3	Holt (1-1)	3:15	15,639	3-6
April 13	Indians	9-8	Weaver (1-2)	3:27	20,334	3-7
April 14	Indians	1-0	Finley (1-2)	2:03	23,119	4-7
April 15	Indians	Postponed (rain) Rescheduled for July 28	Postponed (rain) Rescheduled for July 28	Postponed (rain) Rescheduled for July 28	Postponed (rain) Rescheduled for July 28	Postponed (rain) Rescheduled for July 28
April 17	White Sox	7-4	Wunsch (0-1)	2:39	13,068	5-7
April 18	White Sox	6-4	Holt (1-2)	2:49	13,180	5-8
April 19	White Sox	3-1	Weaver (1-3)	2:34	14,571	5-9
April 20	@ Indians	5-4	Nitkowski (0-1)	3:19	33,127	5-10
April 21	@ Indians	5-4 (11)	Jones (0-2)	3:27	42,068	5-11
April 22	@ Indians	11-3	Mlicki (0-2)	3:02	34,125	5-12
April 24	Orioles	8-3	Weaver (1-4)	2:41	14,101	5-13
April 25	Orioles	6-4	Sparks (2-0)	2:48	18,919	5-14
April 26	Orioles	8-2	Johnson (1-2)	2:37	18,824	6-14
April 27	Devil Rays	4-2	Rupe (1-3)	2:49	16,458	7-14
April 28	Devil Rays	7-3	Perisho (0-2)	3:03	18,666	7-15
April 29	Devil Rays	6-1	Lopez (3-2)	2:27	16,769	8-15
