Pick #	Player	Position	Nationality	NHL team	College/junior/club team
97	Don Cutts	Goaltender	Canada	New York Islanders	Rensselaer Polytechnic Institute (NCAA)
98	Paul Tantardini	Left Wing	Canada	California Golden Seals	Downsview Bombers (OPJHL)
99	Clay Hebenton	Goaltender	Canada	Vancouver Canucks	Portland Winter Hawks WCJHL
100	Dan Follet	Goaltender	Canada	Toronto Maple Leafs	Downsview Bombers (OPJHL)
101	Tom Machowski	Defence	United States	Atlanta Flames	University of Wisconsin (NCAA)
102	Roly Kimble	Goaltender	Canada	Los Angeles Kings	Hamilton Red Wings (OHA)
103	Terry Ewasiuk	Left Wing	Canada	Pittsburgh Penguins	Victoria Cougars (WCHL)
104	John Wensink	Left Wing	Canada	St. Louis Blues	Cornwall Royals (QMJHL)
105	Lou Nistico	Centre	Canada	Minnesota North Stars	London Knights (OHA)
106	Tom Young	Defence	Canada	Philadelphia Flyers	Sudbury Wolves (OHA)
107	Brian Middleton	Defence	Canada	Detroit Red Wings	University of Alberta (CIAU)
108	Bob Young	Defence	United States	Buffalo Sabres	University of Denver (NCAA)
109	Wayne Dye	Left Wing	Canada	Chicago Black Hawks	New Westminster Bruins (WCHL)
110	Denis Andersen	Defence	Canada	New York Islanders	New Westminster Bruins (WCHL)
111	Walter Johnson	Right Wing	United States	Boston Bruins	Oshawa Generals (OHA)
112	Michel Belisle	Centre	Canada	Montreal Canadiens	Montreal Junior Canadiens (QMJHL)
