Week	Date	Opponent	Venue	Score	Result	Attendance	Record
1	June 26	at Hamilton Tiger-Cats	Ivor Wynne Stadium	33–10	Win	20,589	1–0
2	July 4	Winnipeg Blue Bombers	Molson Stadium	38–24	Win	20,202	2–0
3	July 10	Calgary Stampeders	Molson Stadium	23–19	Loss	20,202	2–1
4	July 19	at Saskatchewan Roughriders	Mosaic Stadium	41–33	Loss	28,800	2–2
5	July 25	at BC Lions	BC Place Stadium	36–34	Loss	30,132	2–3
6	July 31	Hamilton Tiger-Cats	Molson Stadium	40–33	Win	20,202	3–3
7	Aug 8	at Winnipeg Blue Bombers	Canad Inns Stadium	39–11	Win	27,674	4–3
8	Aug 15	at Toronto Argonauts	Rogers Centre	32–14	Win	30,521	5–3
9	Bye	Bye	Bye	Bye	Bye	Bye	Bye
10	Aug 29	BC Lions	Molson Stadium	30–25	Win	20,202	6–3
11	Sept 7	Toronto Argonauts	Molson Stadium	45–19	Win	20,202	7–3
12	Sept 12	at Calgary Stampeders	McMahon Stadium	41–30	Loss	30,960	7–4
13	Sept 21	Edmonton Eskimos	Molson Stadium	40–4	Win	20,202	8–4
14	Sept 28	Saskatchewan Roughriders	Molson Stadium	37–12	Win	20,202	9–4
15	Oct 4	at Hamilton Tiger-Cats	Ivor Wynne Stadium	44–36	Loss	20,423	9–5
16	Oct 13	Hamilton Tiger-Cats	Molson Stadium	42–11	Win	20,202	10–5
17	Oct 17	at Toronto Argonauts	Rogers Centre	43–34	Win	30,262	11–5
18	Oct 26	Winnipeg Blue Bombers	Molson Stadium	24–23	Loss	20,202	11–6
19	Oct 31	at Edmonton Eskimos	Commonwealth Stadium	37–14	Loss	29,911	11–7
