Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	68–18 (1)	Mike Kyle	KO (punch)	CFA 11: Kyle vs. Wiuff 2	1	0:21	Coral Gables, Florida , United States
Loss	68–17 (1)	Ryan Martinez	KO (punches)	Bellator 93	1	0:18	Lewiston, Maine , United States
Loss	68–16 (1)	Maro Perak	Decision (split)	Abu Dhabi Warriors 1	3	3:00	Abu Dhabi , United Arab Emirates
Loss	68–15 (1)	Attila Vegh	KO (punches)	Bellator 73	1	0:25	Tunica, Mississippi , United States
Win	68–14 (1)	Tim Carpenter	Decision (unanimous)	Bellator 72	3	5:00	Tampa, Florida , United States
Win	67–14 (1)	Chris Davis	KO (punches)	Bellator 71	1	4:12	Chester, West Virginia , United States
Win	66–14 (1)	Anthony Gomez	Decision (unanimous)	Bellator 60	3	5:00	Hammond, Indiana , United States
Win	65–14 (1)	Christian M'Pumbu	Decision (unanimous)	Bellator 55	3	5:00	Yuma, Arizona , United States
Win	64–14 (1)	Nick Baker	TKO (punches)	Extreme Challenge 183	1	2:11	Black River Falls, Wisconsin , United States
Win	63–14 (1)	Richard White	Submission (punches)	Extreme Challenge 170	1	3:20	Minneapolis, Minnesota , United States
Loss	62–14 (1)	Tim Hague	KO (punch)	AMMA 5: Uprising	1	1:50	Edmonton, Alberta , Canada
Win	62–13 (1)	Josh Barnes	TKO (punches)	Moosin: God of Martial Arts	1	0:34	Worcester, Massachusetts , United States
Win	61–13 (1)	Jeff Monson	Decision (split)	CFX / XKL: Mayhem in Minneapolis	3	5:00	Minneapolis, Minnesota , United States
Win	60–13 (1)	Chuck Hoskins	Decision (unanimous)	Combat USA: 18	3	5:00	Onalaska, Wisconsin , United States
NC	59-13 (1)	Mike Kyle	NC (punch after the bell)	KOTC: Vengeance	2	5:00	Mescalero, New Mexico , United States
Win	59–13	Justin Newcomb	TKO (punches)	IFC: Wiuff vs. Newcomb	1	1:01	Green Bay, Wisconsin, United States
Win	58–13	Waylon Goldsmith	Submission (armbar)	Fight Nation	1	0:20	Rochester, Minnesota , United States
Win	57–13	Tracy Willis	Submission (punches)	IFC: Caged Combat	2	1:46	British Columbia, Canada
Win	56–13	Chris Barden	Submission (punches)	Extreme Challenge 128	1	0:41	Rochester, Minnesota , United States
