Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	10–7–1	Wes Sims	TKO (punches)	Extreme Wars 5: Battlegrounds	1	3:21	Honolulu, Hawaii , United States
Loss	10–6–1	Dave Legeno	Submission (guillotine choke)	Cage Rage 18	1	3:21	London , England
Loss	10–5–1	Ikuhisa Minowa	Submission (achilles lock)	Pride Bushido 8	1	3:11	Nagoya , Japan
Win	10–4–1	Marcus Royster	Submission (forearm choke)	Rumble on the Rock 7	1	4:18	Honolulu, Hawaii , United States
Loss	9–4–1	Ken Shamrock	KO (knee)	UFC 48	1	1:26	Las Vegas, Nevada , United States
Win	9–3–1	Tank Abbott	Submission (arm-triangle choke)	UFC 43	1	1:59	Las Vegas, Nevada , United States
Win	8–3–1	Tim Lajcik	TKO (broken toe)	WFA 2: Level 2	1	1:55	Las Vegas, Nevada , United States
Loss	7–3–1	Tsuyoshi Kohsaka	Decision (unanimous)	UFC 16	1	15:00	Kenner, Louisiana , United States
Draw	7–2–1	Dan Severn	Draw	PRIDE 1	1	30:00	Tokyo , Japan
Win	7–2	Brian Johnston	Submission (forearm choke)	Ultimate Explosion	1	1:43	Honolulu, Hawaii , United States
Win	6–2	Paul Varelans	TKO (corner stoppage)	Ultimate Ultimate 1996	1	9:08	Birmingham, Alabama , United States
Win	5–2	Scott Bigelow	Submission (rear naked choke)	U-Japan	1	2:15	Japan
Win	4–2	Kazushi Sakuraba	Submission (arm-triangle choke)	Shoot Boxing - S-Cup 1996	1	4:20	Tokyo , Japan
Loss	3–2	Ken Shamrock	Submission (kneebar)	UFC 8	1	4:24	San Juan , Puerto Rico
Win	3–1	Patrick Smith	Submission (punches)	United Full Contact Federation 1	1	2:59	Sapporo , Japan
Win	2–1	Fred Floyd	Submission (rear naked choke)	United Full Contact Federation 1	1	0:47	Sapporo , Japan
Win	1–1	Patrick Smith	Submission (punches)	K-1 Legend	1	3:00	Nagoya , Japan
Loss	0–1	Royce Gracie	Submission (armlock)	UFC 3	1	4:40	Charlotte, North Carolina , United States
