Week	Date	Opponent	Result	Attendance
1	September 16, 1962	Pittsburgh Steelers	W 45-7	46,641
2	September 23, 1962	San Francisco 49ers	W 45-24	51,032
3	September 30, 1962	at Baltimore Colts	W 29-20	57,966
4	October 7, 1962	at Green Bay Packers	L 9-7	38,669
5	October 14, 1962	Los Angeles Rams	W 13-10	53,714
6	October 21, 1962	at New York Giants	L 17-14	62,856
7	October 28, 1962	Chicago Bears	W 11-3	53,342
8	November 4, 1962	at Los Angeles Rams	W 12-3	44,241
9	November 11, 1962	at San Francisco 49ers	W 38-24	43,449
10	November 18, 1962	at Minnesota Vikings	W 17-6	31,257
11	November 22, 1962	Green Bay Packers	W 26-14	57,598
12	December 2, 1962	Baltimore Colts	W 21-14	53,012
13	December 9, 1962	Minnesota Vikings	W 37-23	42,256
14	December 16, 1962	at Chicago Bears	L 3-0	44,948
