Rank	Name	Street Address	Height feet / m	Floors	Year
1	Bank of America Tower	50 North Laura Street	617 / 188	42	1990
2	Wells Fargo Center	1 Independent Drive	535 / 163	37	1974
3	EverBank Center	301 West Bay Street	447 / 136	32	1983
4	The Peninsula at St. Johns Center	1401 Riverplace Boulevard	437 / 133	36	2006
5	Riverplace Tower	1301 Riverplace Boulevard	432 / 132	28	1967
6	SunTrust Tower	76 South Laura Street	357 / 109	24	1989
7	The Strand at St. Johns Center	1401 Riverplace Boulevard	328 / 100	28	2006
8	Aetna Building	841 Prudential Drive	309 / 94	22	1954
9	Two Prudential Plaza	San Marco Boulevard	305 / 93	21	1985
10	One Enterprise Center	225 Water Street	299 / 91	21	1986
11	Blue Cross Blue Shield Building	532 Riverside Avenue	287 / 88	19	1971
12	BB&T Building	200 West Forsyth Street	278 / 85	18	1974
13	John Milton Bryan Simpson United States Courthouse	300 North Hogan Street	277 / 85	15	2002
14	JEA Tower	21 West Church Street	268 / 82	19	1963
15	JEA Office Building	233 West Duval Street	260 / 79	18	1955
16	CSX Transportation Building	500 Water Street	253 / 77	17	1960
17	Berkman Plaza I	400 East Bay Street	250 / 76	23	2003
18	San Marco Place	1300 Riverplace Boulevard	246 / 75	21	2006
19	Baptist Medical Pavilion	800 Prudential Drive	230 / 70	18	1986
20	Barnett National Bank Building	112 West Adams Street	223 / 68	18	1926
21	Hyatt Regency Jacksonville Riverfront	225 Coast Line Drive East	216 / 66	18	2001
22	City Hall Annex	200 East Bay Street	210 / 64	15	1960
23	11 East Forsyth	11 East Forsyth Street	200 / 61	17	1926
24	Omni Jacksonville Hotel	245 Water Street	190 / 58	16	1987
25	Cathedral Terrace	701 North Ocean Street	190 / 58	21	1974
26	Mount Carmel Garden Apartments	5846 Mount Carmel Terrace	190 / 58	17	1972
27	Cathedral Townhouse	501 North Ocean Street	186 / 57	18	1970
28	Riverside Presbyterian Apartments	1045 Oak Street	183 / 56	18	1973
29	550 Water Street	550 Water Street	180 / 55	14	1982
30	Fidelity National Financial Tower 2	601 Riverside Avenue	180 / 55	13	2007
31	Cathedral Towers	601 North Newman Street	177 / 54	17	1968
32	Tower Place Apartments	303 West Ashley Street	177 / 54	16	1950
33	The Carling	33 West Adams Street	171 / 52	13	1926
