Outcome	Date	Championship	Surface	Opponent in the final	Score in the final
Winner	13 July 1997	Båstad , Sweden	Clay	Juan Antonio Marín	7–5, 6–2
Runner-up	19 October 1997	Ostrava , Czech Republic	Carpet (i)	Karol Kučera	2–6 ret.
Runner-up	27 July 1998	Umag , Croatia	Clay	Bohdan Ulihrach	3–6, 6–7(0)
Winner	9 August 1998	Amsterdam , Netherlands	Clay	Richard Fromberg	6–3, 6–3, 2–6, 6–4
Winner	25 April 1999	Orlando , USA	Clay	Guillermo Cañas	6–0, 6–3
Winner	25 July 1999	Stuttgart , Germany	Clay	Tommy Haas	6–7 (6–8) , 4–6, 7–6 (9–7) , 6–0, 6–3
Winner	1 August 1999	Umag , Croatia	Clay	Jeff Tarango	6–2, 6–4
Winner	29 August 1999	Long Island , USA	Hard	Àlex Corretja	7–6 (7–4) , 4–6, 6–3
Winner	10 October 1999	Shanghai , China	Hard	Marcelo Ríos	2–6, 6–3, 7–5
Winner	16 January 2000	Auckland , New Zealand	Hard	Michael Chang	3–6, 6–3, 7–5
Winner	14 May 2000	Rome , Italy	Clay	Gustavo Kuerten	6–3, 4–6, 6–4, 6–4
Runner-up	11 June 2000	French Open, Paris, France	Clay	Gustavo Kuerten	2–6, 3–6, 6–2, 6–7 (6–8)
Winner	16 July 2000	Båstad, Sweden	Clay	Andreas Vinciguerra	6–1, 7–6 (8–6)
Winner	27 August 2000	Long Island, USA	Hard	Thomas Enqvist	6–3, 5–7, 7–5
Winner	22 October 2000	Shanghai, China	Hard	Sjeng Schalken	6–4, 4–6, 6–3
Runner-up	14 January 2001	Sydney , Australia	Hard	Lleyton Hewitt	4–6, 1–6
Runner-up	11 March 2001	Scottsdale , USA	Hard	Francisco Clavet	4–6, 2–6
Runner-up	6 October 2002	Tokyo , Japan	Hard	Kenneth Carlsen	6–7 (6–8) , 3–6
