#	President	Date of birth	Date of inauguration	Age at inauguration	End of term	Length of retirement	Date of death	Lifespan
1	Nkrumrah, Kwame Kwame Nkrumah	1909-09-21 21 September 1909	1July1960	50-284 50years, 284days	24February1966	2,254 days	1972-04-27 27 April 1972	days (62years, 219days)
2	Ankrah, Joseph Joseph Ankrah	1915-08-18 18 August 1915	24February1966	50-190 50years, 190days	2April1969	8,638 days	1992-11-25 25 November 1992	days (77years, 99days)
3	Afrifa, Akwasi Akwasi Afrifa	1936-04-24 24 April 1936	2April1969	32-343 32years, 343days	7August1970	3,245 days	1979-06-26 26 June 1979	days (43years, 63days)
4	Ollennu, Nii Nii Ollennu	1906-00-00 1906	7August1970	64-000 ~64 years	31August1970	5,844 ~16 years	1986-00-00 1986	29,220 ~80 years
5	Akufo-Addo, Edward Edward Akufo-Addo	1906-06-26 26 June 1906	31August1970	64-066 64years, 66days	13January1972	2,742 days	1979-07-17 17 July 1979	days (73years, 21days)
6	Acheampong, Ignatius Ignatius Acheampong	1931-09-23 23 September 1931	13January1972	40-112 40years, 112days	5July1978	0,346 days	1979-06-16 16 June 1979	days (47years, 266days)
7	Akuffo, Fred Fred Akuffo	1937-03-21 21 March 1937	5July1978	41-106 41years, 106days	4June1979	0,022 days	1979-06-26 26 June 1979	days (42years, 97days)
8	Rawlings, Jerry Jerry Rawlings	1947-06-22 22 June 1947	4June1979	31-347 31years, 347days	24September1979	days	2014-02-1	days (66years, 224days)
9	Limann, Hilla Hilla Limann	1934-12-12 12 December 1934	24September1979	44-286 44years, 286days	31December1981	5,867 days	1998-01-23 23 January 1998	days (63years, 42days)
10	Rawlings, Jerry Jerry Rawlings	1947-06-22 22 June 1947	31December1981	34-192 34years, 192days	7January2001	days	2014-02-1	days (66years, 224days)
11	Kufuor, John John Kufuor	1938-12-08 8 December 1938	7January2001	62-030 62years, 30days	7January2009	0, days	2014-02-1	days (75years, 55days)
12	Mills, John John A. Mills	1944-07-21 21 July 1944	7January2009	64-170 64years, 170days	24July2012	0 days	2012-07-24 24 July 2012	days (68years, 3days)
13	Mahama, John John Mahama	58-11-29 29 November 1958	24July2012	53-238 53years, 238days	0,000 Incumbent	0,000 Incumbent	2014-02-1	days (55years, 64days)
