Año	Trabajo nominado	Premio	Categoría	Country	Resultado
2009	Adammo	MTV Latin America	Revelation Artist	Colombia	Nominate
2009	Adammo	MTV Latin America	Best New Artist: Center	Colombia	Winner
2009	Adammo	MTV Latin America	Prize Zone	Colombia	Nominate
2010	Adammo	Premios APDAYC	Rock Group of the Year	Perú	Winner
2010	Adammo	Premios APDAYC	Artist of the Year	Perú	Nominate
2010	Adammo	Premios Orgullosamente Latino	Grupo Latin of the year	Mexico	Nominate
2010	Algún Día	Latin Grammy Awards	Short Video of the Year	E.E.U.U	Nominate
2010	Adammo	Premios Clarín	Best Music Video of the Year	Argentina	Nominate
2010	Adammo	Premios Clarín	Best International Breakthrough	Argentina	Nominate
2010	Adammo	Premios Clarín	Best International Album	Argentina	Nominate
2010	Algún Día	Radio Can	Best Video	Colombia	Nominate
2011	Adammo	Premios APDAYC	Rock Group of the Year	Perú	Winner
2011	Adammo	MTV Europe Music Awards	World Wide Act Latin American	Europa	Nominate
2011	Adammo	Zona Joven	Best Pop Rock Peruano	Perú	Winner
2012	Siento que Caigo	Radio Can	Song of the Year	Perú	Nominate
