Team	Winners	Runners-Up	Third Place	Fourth Place
Peñarol de Mar del Plata	2 ( 2007–08 , 2009–10 )	0	0	0
UniCEUB/Brasília	1 ( 2008–09 )	0	0	2 (2012, 2013)
Regatas Corrientes	1 ( 2010–11 )	0	0	0
Pioneros de Quintana Roo	1 ( 2012 )	0	0	0
Pinheiros	1 ( 2013 )	0	0	0
Halcones UV Xalapa	0	1 (2008–09)	2 (2009–10, 2010–11)	0
Capitanes de Arecibo	0	1 (2010–11)	1 (2013)	0
Soles de Mexicali	0	1 (2007–08)	0	0
Espartanos de Margarita	0	1 (2009–10)	0	0
La Unión de Formosa	0	1 (2012)	0	0
Lanús	0	1 (2013)	0	0
Miami Tropics	0	0	1 (2007–08)	0
Biguá	0	0	1 (2008–09)	0
Obras Sanitarias	0	0	1 (2012)	0
Minas	0	0	0	2 (2007–08, 2008–09)
Quimsa	0	0	0	1 (2009–10)
Halcones Rojos	0	0	0	1 (2010–11)
