Name	Pos.	Height	Weight	Date of Birth	Club
Frano Vićan	GK	m (ft 4in)	kg (lb)	1976-01-24	Sportiva Nervi
Damir Burić	CB	m (ft 9in)	kg (lb)	1980-12-02	Primorje EB
Tihomil Vranješ	D	m (ft 2in)	kg (lb)	1977-11-10	VK Jug Dubrovnik
Dubravko Šimenc	CB	m (ft 7in)	kg (lb)	1966-11-02	Bissolati Cremona
Goran Volarević	GK	m (ft 2in)	kg (lb)	1977-04-02	VK Jug Dubrovnik
Ratko Štritof	CB	m (ft 5in)	kg (lb)	1972-01-14	Circolo Nautico Posillipo
Mile Smodlaka	CF	m (ft 6in)	kg (lb)	1976-01-01	VK Jug Dubrovnik
Danijel Premuš	CF	m (ft 1in)	kg (lb)	1981-04-15	Primorje EB
Nikola Franković	D	m (ft 4in)	kg (lb)	1982-11-09	Primorje EB
Samir Barač	D	m (ft 2in)	kg (lb)	1973-11-02	Leonessa Brescia
Igor Hinić	CF	m (ft 8in)	kg (lb)	1975-12-04	Leonessa Brescia
Elvis Fatović	D	m (ft 1in)	kg (lb)	1971-05-08	VK Jug Dubrovnik
Vjekoslav Kobešćak	D	m (ft 2in)	kg (lb)	1974-01-20	HAVK Mladost
Head Coach: Zoran Roje	Head Coach: Zoran Roje	Head Coach: Zoran Roje	Head Coach: Zoran Roje	Head Coach: Zoran Roje	Head Coach: Zoran Roje
