Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1967 (40th)	No Stars in the Jungle	En la selva no hay estrellas	Armando Robles Godoy	Not Nominated
1969 (42nd)	The Green Wall	La muralla verde	Armando Robles Godoy	Not Nominated
1972 (45th)	Mirage	Espejismo	Armando Robles Godoy	Not Nominated
1983 (56th)	Maruja in Hell	Maruja en el infierno	Francisco José Lombardi	Not Nominated
1985 (58th)	The City and the Dogs	La ciudad y los perros	Francisco José Lombardi	Not Nominated
1988 (61st)	The Mouth of the Wolf	La boca del lobo	Francisco José Lombardi	Not Nominated
1990 (63rd)	Fallen from Heaven	Caídos del cielo	Francisco José Lombardi	Not Nominated
1991 (64th)	Alias 'La Gringa'	Alias 'La Gringa'	Alberto Durant	Not Nominated
1993 (66th)	Report on Death	Reportaje a la muerte	Danny Gavidia	Not Nominated
1994 (67th)	Without Compassion	Sin compasión	Francisco José Lombardi	Not Nominated
1999 (72nd)	Captain Pantoja and the Special Services	Pantaleón y las visitadoras	Francisco José Lombardi	Not Nominated
2003 (76th)	Paper Dove	Paloma de papel	Fabrizio Aguilar	Not Nominated
2005 (78th)	Days of Santiago	Días de Santiago	Josué Méndez	Not Nominated
2006 (79th)	Madeinusa	Madeinusa	Claudia Llosa Category:Articles with hCards	Not Nominated
2007 (80th)	Crossing a Shadow	Una sombra al frente	Augusto Tamayo	Not Nominated
2009 (82nd)	The Milk of Sorrow	La teta asustada	Claudia Llosa	Nominated
2010 (83rd)	Undertow	Contracorriente	Javier Fuentes-León	Not Nominated
2011 (84th)	October	Octubre	Daniel Vega Vidal	Not Nominated
2012 (85th)	The Bad Intentions	Las malas intenciones	Rosario Garcia-Montero	Not Nominated
