Round	Pick	Player	Position	Team	College
1	1	Andy Tonkovich Category:Articles with hCards	G	Providence Steamrollers	Marshall
1	2	George Kok Category:Articles with hCards #	C	Indianapolis Jets	Arkansas
1	3	George Hauptfuhrer Category:Articles with hCards #	C	Boston Celtics	Harvard
1	4	Dolph Schayes Category:Articles with hCards ^	F/C	New York Knicks	NYU
1	5	Ed Mikan Category:Articles with hCards	F/C	Chicago Stags	DePaul
1	6	Walt Budko Category:Articles with hCards	F/C	Baltimore Bullets	Columbia
1	7	Robert Gale Category:Articles with hCards #	–	St. Louis Bombers	Cornell
1	8	Ward Williams Category:Articles with hCards	F	Fort Wayne Pistons	Indiana
1	9	Chuck Hanger Category:Articles with hCards #	–	Minneapolis Lakers	California
1	10	Bobby Wanzer Category:Articles with hCards ^	G	Rochester Royals	Seton Hall
1	11	Don Ray Category:Articles with hCards	F/C	Philadelphia Warriors	Western Kentucky
1	12	Jack Nichols Category:Articles with hCards	F/C	Washington Capitols	Washington
