County	Kerry%	Kerry#	Bush%	Bush#	Others%	Others#
Adams	33.4%	10511	66.2%	20834	0.4%	132
Alexander	52.1%	2016	47.3%	1831	0.7%	26
Bond	43.8%	3228	55.2%	4068	1.0%	73
Boone	42.4%	8286	57.0%	11132	0.6%	123
Brown	34.6%	895	65.0%	1679	0.4%	11
Bureau	44.5%	7961	54.9%	9822	0.7%	119
Calhoun	50.5%	1367	48.7%	1317	0.8%	22
Carroll	43.5%	3537	55.7%	4534	0.8%	64
Cass	43.7%	2492	55.5%	3163	0.8%	45
Champaign	50.4%	41524	48.4%	39896	1.2%	1014
Christian	40.0%	6112	59.2%	9044	0.7%	111
Clark	35.9%	2877	63.5%	5082	0.6%	48
Clay	32.1%	2101	67.4%	4416	0.6%	37
Clinton	39.7%	6797	59.7%	10219	0.7%	115
Coles	42.0%	9566	57.1%	13015	0.9%	199
Cook	70.2%	1439724	29.1%	597405	0.6%	12305
Crawford	34.2%	3194	65.2%	6083	0.6%	55
Cumberland	34.4%	1862	64.6%	3497	1.1%	57
DeKalb	47.3%	19263	51.7%	21095	1.0%	410
De Witt	36.4%	2836	63.1%	4920	0.5%	42
Douglas	32.4%	2767	66.8%	5702	0.8%	71
DuPage	44.8%	180097	54.4%	218902	0.9%	3447
Edgar	36.7%	3093	62.4%	5258	0.9%	78
Edwards	27.6%	930	71.7%	2412	0.7%	22
Effingham	27.0%	4388	72.3%	11774	0.7%	116
Fayette	37.4%	3571	61.6%	5880	1.0%	98
Ford	29.5%	1912	69.6%	4511	0.9%	56
Franklin	45.6%	8816	53.7%	10388	0.8%	148
Fulton	53.3%	9080	45.9%	7818	0.8%	137
Gallatin	48.8%	1573	50.2%	1619	1.0%	33
Greene	40.5%	2457	58.7%	3559	0.9%	52
Grundy	42.7%	8463	56.5%	11198	0.9%	170
Hamilton	40.2%	1814	58.8%	2653	1.0%	47
Hancock	40.2%	3975	59.0%	5837	0.9%	87
Hardin	37.9%	923	61.6%	1501	0.5%	13
Henderson	54.6%	2269	44.7%	1857	0.7%	27
Henry	47.1%	11877	52.3%	13212	0.6%	152
Iroquois	27.7%	3832	71.7%	9914	0.6%	89
Jackson	55.4%	14300	43.3%	11190	1.3%	336
Jasper	33.4%	1781	66.1%	3529	0.5%	26
Jefferson	39.6%	6713	59.9%	10160	0.4%	75
Jersey	45.3%	4597	53.6%	5435	1.0%	105
Jo Daviess	45.8%	5311	53.3%	6174	0.9%	99
Johnson	30.9%	1813	68.2%	3997	0.9%	55
Kane	44.2%	75922	55.0%	94359	0.8%	1434
Kankakee	44.4%	20003	54.9%	24739	0.7%	294
Kendall	38.2%	12374	61.0%	19774	0.8%	254
Knox	54.2%	13403	45.0%	11111	0.8%	194
Lake	48.8%	134352	50.5%	139081	0.7%	1862
LaSalle	47.8%	24263	51.5%	26101	0.7%	365
Lawrence	37.4%	2518	61.9%	4162	0.7%	49
Lee	40.4%	6416	58.6%	9307	1.0%	153
Livingston	35.1%	5632	64.3%	10316	0.6%	91
Logan	31.7%	4273	67.7%	9112	0.6%	82
McDonough	47.7%	7119	51.3%	7656	1.0%	154
McHenry	39.3%	50330	59.7%	76412	0.9%	1206
McLean	41.7%	29877	57.6%	41276	0.7%	467
Macon	45.1%	23341	54.3%	28118	0.6%	287
Macoupin	49.1%	11193	50.1%	11413	0.8%	179
Madison	51.3%	63399	48.0%	59384	0.7%	895
Marion	44.7%	7694	54.7%	9413	0.7%	117
Marshall	42.6%	2806	56.7%	3734	0.7%	44
Mason	44.8%	3215	54.4%	3907	0.8%	61
Massac	37.8%	2805	61.7%	4578	0.6%	41
Menard	32.5%	2137	67.1%	4408	0.4%	29
Mercer	50.3%	4512	49.1%	4405	0.6%	57
Monroe	41.5%	6788	57.8%	9468	0.7%	114
Montgomery	46.2%	5979	53.0%	6851	0.8%	100
Morgan	37.2%	5650	61.9%	9392	0.9%	138
Moultrie	36.9%	2388	62.3%	4028	0.8%	50
Ogle	37.4%	9018	61.9%	14918	0.6%	155
Peoria	49.7%	41121	49.6%	41051	0.7%	599
Perry	45.8%	4770	53.6%	5589	0.6%	66
Piatt	36.4%	3124	62.8%	5392	0.8%	70
Pike	35.7%	2849	63.1%	5032	1.2%	99
Pope	37.7%	918	61.6%	1500	0.7%	18
Pulaski	44.1%	1372	55.3%	1720	0.5%	16
