Finished	Horse	Jockey	Trainer	Odds
1	Da'Tara	Alan Garcia	Nick Zito	38-1
2	Denis of Cork	Robby Albarado	David M. Carroll	7-1
3 ( DH )	Anak Nakal	Julien Leparoux	Nick Zito	34-1
3 (DH)	Ready's Echo	John Velazquez	Todd Pletcher	29-1
5	Macho Again	Garrett Gomez	Dallas Stewart	17-1
6	Tale of Ekati	Eibar Coa	Barclay Tagg	14-1
7	Guadalcanal	Javier Castellano	Frederick J. Seitz	25-1
8	Icabad Crane	Jeremy Rose	H. Graham Motion	17-1
9	Big Brown	Kent Desormeaux	Rick Dutrow	1-4
Scratched	Casino Drive	Edgar Prado	Kazuo Fujisawa	7-2
