Rank	Name	Altitude (meters)	Range	Parent Range
1	Dome A	4091	Dome A	East Antarctica Ranges
2	Peak 3938	3938	Antarctic Plateau	East Antarctica Ranges
3	Dome F	3700	Dome F	East Antarctica Ranges
4	Mount Menzies	3355	Prince Charles Mountains	East Antarctica Ranges
5	Dome C	3206	Dome C	East Antarctica Ranges
6	Mount Widerøe	3180	Sør Rondane Mountains	East Antarctica Ranges
7	Titan Dome	3106	Antarctic Plateau	East Antarctica Ranges
8	Kyrkjeskipet Peak	3085	Mühlig-Hofmann Mountains	East Antarctica Ranges
9	Sandeggtind Peak	3055	Orvin Mountains	East Antarctica Ranges
10	Gessner Peak	3020	Mühlig-Hofmann Mountains	East Antarctica Ranges
11	Zwiesel Mountain	2970	Wohlthat Mountains	East Antarctica Ranges
12	Gneiskopf Peak	2930	Wohlthat Mountains	East Antarctica Ranges
13	Gora Georgia Pobedonosca	2896	Mawson Coast	East Antarctica Ranges
14	Mount McMaster	2830	Enderby Land	East Antarctica Ranges
15	Sloknuten Peak	2765	Mühlig-Hofmann Mountains	East Antarctica Ranges
16	Isachsen Mountain	2750	Sør Rondane Mountains	East Antarctica Ranges
17	Breplogen Mountain	2725	Mühlig-Hofmann Mountains	East Antarctica Ranges
18	Paalnibba	2711	Sivorgfjella	East Antarctica Ranges
19	Jahntinden	2709	Sivorgfjella	East Antarctica Ranges
20	Risemedet Mountain	2705	Mühlig-Hofmann Mountains	East Antarctica Ranges
21	Shatskiy Hill	2705	Weyprecht Mountains	East Antarctica Ranges
22	Borg Massif	2700	Ritscher Upland	East Antarctica Ranges
23	Terningen Peak	2680	Mühlig-Hofmann Mountains	East Antarctica Ranges
24	Mount Krüger	2655	Sverdrup Mountains	East Antarctica Ranges
25	Poulssonhamaren	2650	Sivorgfjella	East Antarctica Ranges
26	Rivenæsnuten	2633	Sivorgfjella	East Antarctica Ranges
27	Lierjuven	2620	Sivorgfjella	East Antarctica Ranges
28	Mount Victor	2590	Belgica Mountains	East Antarctica Ranges
29	Ryghnuten	2589	Sivorgfjella	East Antarctica Ranges
30	Mount Van Mieghem	2572	Belgica Mountains	East Antarctica Ranges
31	Mount Solvay	2564	Belgica Mountains	East Antarctica Ranges
32	Malmrusta	2561	Sivorgfjella	East Antarctica Ranges
