Round	Grand Prix	Pole Position	Fastest Lap	Winning Driver	Winning Constructor	Report
1	Brazilian Grand Prix	Ayrton Senna	Michael Schumacher	Michael Schumacher	Benetton - Ford	Report
2	Pacific Grand Prix	Ayrton Senna	Michael Schumacher	Michael Schumacher	Benetton - Ford	Report
3	San Marino Grand Prix	Ayrton Senna	Damon Hill	Michael Schumacher	Benetton - Ford	Report
4	Monaco Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Benetton - Ford	Report
5	Spanish Grand Prix	Michael Schumacher	Michael Schumacher	Damon Hill	Williams - Renault	Report
6	Canadian Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Benetton - Ford	Report
7	French Grand Prix	Damon Hill	Damon Hill	Michael Schumacher	Benetton - Ford	Report
8	British Grand Prix	Damon Hill	Damon Hill	Damon Hill	Williams - Renault	Report
9	German Grand Prix	Gerhard Berger	David Coulthard	Gerhard Berger	Ferrari	Report
10	Hungarian Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Benetton - Ford	Report
11	Belgian Grand Prix	Rubens Barrichello	Damon Hill	Damon Hill	Williams - Renault	Report
12	Italian Grand Prix	Jean Alesi	Damon Hill	Damon Hill	Williams - Renault	Report
13	Portuguese Grand Prix	Gerhard Berger	David Coulthard	Damon Hill	Williams - Renault	Report
14	European Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Benetton - Ford	Report
15	Japanese Grand Prix	Michael Schumacher	Damon Hill	Damon Hill	Williams - Renault	Report
16	Australian Grand Prix	Nigel Mansell	Michael Schumacher	Nigel Mansell	Williams - Renault	Report
