Player	Minutes	Field Goals	Rebounds	Assists	Steals	Blocks	Points
Lauren Jackson	1176	206	313	57	36	67	597
Sue Bird	1020	130	72	176	29	6	364
Betty Lennox	800	123	124	57	35	5	346
Janell Burse	859	127	199	23	19	40	340
Iziane Castro Marques	879	93	97	49	18	4	269
Suzy Batkovic	461	76	94	26	17	24	199
Tanisha Wright	528	49	57	53	18	3	122
Francesca Zara	413	34	39	51	16	1	90
Alicia Thompson	329	32	45	14	4	4	83
Simone Edwards	201	24	31	3	4	2	55
Natalia Vodopyanova	98	8	20	10	3	2	25
Mandisa Stevenson	53	3	6	1	2	0	6
