Barangay	Location	Classification	Population (May, 2000)	Population (May, 2010)
Abaca	upland	Rural	1361	1419
Baclao	upland	Rural	1012	888
Basak	upland	Rural	3010	3355
Bulata	coastal	Rural	4863	4753
Caliling	coastal	Urban	4570	5410
Camalanda-an	upland	Urban	4810	4703
Camindangan	upland	Rural	2727	2262
Elihan	coastal	Rural	1267	1535
Guiljungan	coastal	Urban	9870	9822
Inayawan	coastal	Rural	9407	10224
Isio	coastal	Urban	5089	6139
Linaon	coastal	Rural	3464	3308
Lumbia	upland	Rural	1098	1163
Mambugsay	coastal	Rural	4976	4997
Man-uling	coastal	Urban	2332	2732
Masaling	coastal	Urban	3615	3770
Molobolo	upland	Rural	1242	1165
Poblacion	coastal	Urban	8361	9418
Sura	upland	Rural	409	522
Talacdan	upland	Rural	3392	4165
Tambad	upland	Rural	904	1002
Tiling	coastal	Rural	3146	4135
Tomina	upland	Rural	947	1317
Tuyom	coastal	Urban	5407	6144
