Season	Competition	Games	Wins	Loses	Against
2011	ULEB Eurocup	2	0	2	90.5
2011	EuroChallenge	6	3	3	73.3
2010	ULEB Eurocup	2	1	1	70.0
2010	EuroChallenge	14	7	7	78.4
2009	EuroChallenge	2	0	2	67.5
2008	FIBA EuroCup	2	1	1	89.0
2006	EuroCup Challenge	8	5	3	77.8
2005	FIBA Europe Cup	6	4	2	86.8
2004	FIBA Europe Cup	6	3	3	81.7
2003	FIBA Europe Champions Cup	10	1	9	84.7
2002	Korać Cup	2	0	2	84.0
2000	Saporta Cup	10	0	10	84.6
1999	Saporta Cup	10	3	7	73.6
1997	EuroCup	10	1	9	83.1
1996	European Championship for Men's Clubs	4	2	2	67.5
1996	European Cup for Men's Clubs	2	0	2	93.5
1995	European Cup for Men's Clubs	2	1	1	81.0
1994	European Cup for Men's Clubs	2	0	2	96.0
1993	European Cup Radivoj Korać	2	0	2	107.0
1992	European Cup for Men's Clubs	2	0	2	108.5
1991	European Cup Radivoj Korać	2	0	2	87.0
1989	European Cup Radivoj Korać	0	0	0	Withdrew
1987	European Cup Winners' Cup	2	0	2	101.0
1986	European Cup Radivoj Korać	2	0	2	156.5
1985	European Cup Winners' Cup	2	0	2	121.5
1980	European Cup Winners' Cup	2	0	2	117.5
