Year	Championship	54 holes	Winning score	Margin	Runner(s)-up
1997	Masters Tournament	9 shot lead	−18 (70-66-65-69=270)	12 strokes	Tom Kite
1999	PGA Championship	Tied for lead	−11 (70-67-68-72=277)	1 stroke	Sergio García
2000	U.S. Open	10 shot lead	−12 (65-69-71-67=272)	15 strokes	Ernie Els , Miguel Ángel Jiménez
2000	The Open Championship	6 shot lead	−19 (67-66-67-69=269)	8 strokes	Thomas Bjørn , Ernie Els
2000	PGA Championship (2)	1 shot lead	−18 (66-67-70-67=270)	Playoff 1	Bob May
2001	Masters Tournament (2)	1 shot lead	−16 (70-66-68-68=272)	2 strokes	David Duval
2002	Masters Tournament (3)	Tied for lead	−12 (70-69-66-71=276)	3 strokes	Retief Goosen
2002	U.S. Open (2)	4 shot lead	−3 (67-68-70-72=277)	3 strokes	Phil Mickelson
2005	Masters Tournament (4)	3 shot lead	−12 (74-66-65-71=276)	Playoff 2	Chris DiMarco
2005	The Open Championship (2)	2 shot lead	−14 (66-67-71-70=274)	5 strokes	Colin Montgomerie
2006	The Open Championship (3)	1 shot lead	−18 (67-65-71-67=270)	2 strokes	Chris DiMarco
2006	PGA Championship (3)	Tied for lead	−18 (69-68-65-68=270)	5 strokes	Shaun Micheel
2007	PGA Championship (4)	3 shot lead	−8 (71-63-69-69=272)	2 strokes	Woody Austin
