Date	Visiting Team	Final Score	Host Team	Stadium
September 6	New Orleans Saints	10–41	Indianapolis Colts	RCA Dome
September 9	New York Giants	35–45	Dallas Cowboys	Texas Stadium
September 16	San Diego Chargers	14–38	New England Patriots	Gillette Stadium
September 23	Dallas Cowboys	34–10	Chicago Bears	Soldier Field
September 30	Philadelphia Eagles	3–16	New York Giants	Giants Stadium
October 7	Chicago Bears	27–20	Green Bay Packers	Lambeau Field
October 14	New Orleans Saints	28–17	Seattle Seahawks	Qwest Field
October 21	Pittsburgh Steelers	28–31	Denver Broncos	INVESCO Field at Mile High
November 4	Dallas Cowboys	38–17	Philadelphia Eagles	Lincoln Financial Field
November 11	Indianapolis Colts	21–23	San Diego Chargers	Qualcomm Stadium
November 18*	New England Patriots	56–10	Buffalo Bills	Ralph Wilson Stadium
November 25	Philadelphia Eagles	28–31	New England Patriots	Gillette Stadium
December 2	Cincinnati Bengals	10–24	Pittsburgh Steelers	Heinz Field
December 9	Indianapolis Colts	44–20	Baltimore Ravens	M&T Bank Stadium
December 16	Washington Redskins	22–10	New York Giants	Giants Stadium
December 23**	Washington Redskins	32–21	Minnesota Vikings	Hubert H. Humphrey Metrodome
December 30***	Tennessee Titans	16–10	Indianapolis Colts	RCA Dome
January 5	Washington Redskins	14–35	Seattle Seahawks	Qwest Field
January 5	Jacksonville Jaguars	31–29	Pittsburgh Steelers	Heinz Field
