Season	Competition	Round	Opponent	Home	Away	Agg.
1964–65	Inter-Cities Fairs Cup	R1	GAK	3–2	6–0	9–2
1964–65	Inter-Cities Fairs Cup	R2	Roma	1–1	0–1	1–2
1965–66	Inter-Cities Fairs Cup	R1	RFC Liège	2–0	0–1	2–1
1965–66	Inter-Cities Fairs Cup	R2	Steagul Roşu Braşov	2–2	0–1	2–3
1969–70	Inter-Cities Fairs Cup	R1	Charleroi	1–3	1–2	2–5
1995–96	Intertoto Cup	Group 6	LASK Linz	0–0	–	–
1995–96	Intertoto Cup	Group 6	Keflavík	–	0–0	–
1995–96	Intertoto Cup	Group 6	Metz	0–1	–	–
1995–96	Intertoto Cup	Group 6	Partick Thistle	–	2–1	–
1997–98	Cup Winners' Cup	QR	Sloga Jugomagnat	2–0	2–1	4–1
1997–98	Cup Winners' Cup	R1	Tromsø	3–2	2–4	5–6
2001–02	Intertoto Cup	R1	Pobeda	1–2	1–1	2–3
2002–03	Champions League	QR2	Zalaegerszeg	2–1	0–1	2–2 ( a )
2003–04	Intertoto Cup	R1	Koper	2–2	0–1	2–3
2007–08	Intertoto Cup	R1	Vllaznia Shkodër	2–1	0–1	2–2 ( a )
