Year	Play	Role	Theatre	Location
1940	Liliom	Julie	Forty-Fourth Street Theater	New York City , New York
1941	Anna Christie	Anna Christopherson	Lobero Theatre	Santa Barbara, California
1946	Joan of Lorraine	Joan of Arc/Mary Grey	Alvin Theater	New York City , New York
1953	Joan of Arc at the Stake	Joan of Arc	San Carlo Opera House	Naples , Italy
1956	Tea and Sympathy	Laura Reynolds	Théâtre de Paris	Paris , France
1962	Hedda Gabler	Hedda Gabler	Théâtre Montparnasse Gaston Baty	Paris , France
1965	A Month in the Country	Natalia Petrovna	Yvonne Arnaud Theatre	Guildford , United Kingdom
1967	More Stately Mansions	Deborah Harford	Broadhurst Theatre	New York City , New York
1971	Captain Brassbound's Conversion	Lady Cecily Waynflete	Cambridge Theatre	London , United Kingdom
1972	Captain Brassbound's Conversion	Lady Cecily Waynflete	Opera House, Kennedy Center	Washington, D.C.
1973	The Constant Wife	Constance Middleton	Albery Theatre	London , United Kingdom
1975	The Constant Wife	Constance Middleton	Shubert Theatre	New York City , New York
1977	Waters of the Moon	Helen Lancaster	Festival Theatre	Chichester , United Kingdom
1978	Waters of the Moon	Helen Lancaster	Haymarket Theatre	London , United Kingdom
