Round	Pick	Player	Position	School
1	14	Earl Gros	Running Back	LSU
2	28	Ed Blaine	Guard	Missouri
3	41	Gary Barnes	Wide Receiver	Clemson
4	56	Ron Gassert	Defensive Tackle	Virginia
5	65	Chuck Morris	Back	Ole Miss
5	70	Jon Schopf	Guard	Michigan
6	79	John Sutro	Tackle	San Jose State
6	84	Oscar Donahue	End	San Jose State
7	98	Gary Cutsinger	Tackle	Oklahoma State
8	112	Jim Tullis	Back	Florida A&M
9	126	Peter Schenck	Back	Washington State
10	140	Gale Weidner	Quarterback	Colorado
11	154	Jim Thrush	Tackle	Xavier
12	158	Joe Thorne	Back	South Dakota State
12	168	Tom Pennington	Back	Georgia
13	182	Tom Kepner	Tackle	Villanova
14	196	Ernie Green	Back	Louisville
15	210	Roger Holdinsky	Back	West Virginia
16	224	Jimmy Field	Back	LSU
17	238	Buck Buchanan	Tackle	Grambling
18	252	Bob Joiner	Quarterback	Presbyterian
19	266	Jerry Scattini	Halfback	California
20	280	Mike Snodgrass	Center	Western Michigan
