Dance	Best dancer(s)	Highest score	Worst dancer(s)	Lowest score
Cha-cha-cha	Stacy Keibler	28	Master P	12
Waltz	Giselle Fernandez Tatum O'Neal	23	Lisa Rinna	19
Rumba	Stacy Keibler Drew Lachey	29	Tatum O'Neal	17
Quickstep	Drew Lachey Lisa Rinna Stacy Keibler	27	Master P	16
Jive	Stacy Keibler	30	Master P	14
Tango	Drew Lachey	30	Jerry Rice	20
Samba	Stacy Keibler	30	Tia Carrere	22
Paso Doble	Drew Lachey	30	Master P	8
Foxtrot	Stacy Keibler Lisa Rinna Drew Lachey Jerry Rice	26	Jerry Rice	24
Freestyle	Drew Lachey	30	Stacy Keibler	26
