Rank	Country	Athlete	Technical	Free	Total
1	Russia	Anastasia Davydova & Anastasiya Yermakova	49.334	49.500	98.834
2	Spain	Andrea Fuentes & Gemma Mengual	48.834	49.084	97.918
3	Japan	Saho Harada & Emiko Suzuki	48.250	48.400	96.750
4	China	Jiang Tingting & Jiang Wenwen	48.084	48.500	96.584
5	United States	Christina Jones & Andrea Nott	47.750	47.750	95.500
6	Canada	Marie-Pier Boudreau Gagnon & Isabelle Rampling	47.417	47.333	94.750
7	Italy	Beatrice Adelizzi & Giulia Lapi	46.834	47.000	93.834
8	Ukraine	Darya Yushko & Kseniya Sydorenko	46.084	46.334	92.418
9	Netherlands	Bianca van der Velden & Sonja van der Velden	45.584	45.834	91.418
9	Greece	Evanthia Makrygianni & Despoina Solomou	45.834	45.584	91.418
11	France	Apolline Dreyfuss & Lila Meesseman-Bakir	44.750	45.250	90.000
12	Switzerland	Magdalena Brunner & Ariane Schneider	44.250	45.000	89.250
13	Brazil	Nayara Figueira & Lara Teixera	44.334	44.667	89.001
14	Great Britain	Olivia Allison & Jenna Randall	43.917	44.667	88.584
15	Israel	Anastasia Gloushkov & Inna Yoffe	43.583	43.334	86.917
16	North Korea	Kim Yong-Mi & Wang Ok-Gyong	42.917	43.584	86.501
17	Belarus	Katsiaryna Kulpo & Nastassia Parfenava	42.667	42.667	85.334
18	Czech Republic	Soňa Bernardová & Alžběta Dufková	42.500	42.750	85.250
19	Mexico	Mariana Cifuentes & Blanca Delgado	42.334	42.834	85.168
20	Kazakhstan	Ainur Kerey & Arna Toktagan	41.750	42.583	84.333
21	Australia	Myriam Glez & Erika Leal-Ramirez	41.250	41.584	82.834
22	Austria	Nadine Brandl & Elisabeth Mahn	41.250	41.167	82.417
23	New Zealand	Lisa Daniels & Nina Daniels	40.750	40.417	81.167
24	Egypt	Reem Abdalazem & Dalia El Gebaly	40.417	40.250	80.667
