Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Real Betis	38	51+13	19	13	6	69	31	+38
2	Hércules CF	38	49+11	20	9	9	51	34	+17
3	UD Salamanca	38	48+10	20	8	10	53	39	+14
4	CD Tenerife	38	46+8	19	8	11	57	41	+16
5	Cádiz CF	38	46+8	18	10	10	52	37	+15
6	Gimnástico de Tarragona	38	41+3	16	9	13	46	40	+6
7	Real Valladolid	38	41+3	16	9	13	61	50	+11
8	CD San Andrés	38	39+1	16	7	15	47	38	+9
9	Sevilla FC	38	39+1	15	9	14	48	40	+8
10	Baracaldo CF	38	39+1	14	11	13	49	52	-3
11	RCD Mallorca	38	39+1	12	15	11	36	32	+4
12	CD Orense	38	38	13	12	13	43	45	-2
13	Córdoba CF	38	38	16	6	16	58	58	0
14	Rayo Vallecano	38	33-5	14	5	19	39	51	-12
15	CD Sabadell	38	33-5	11	11	16	35	52	-17
16	Burgos CF	38	32-6	13	6	19	34	44	-10
17	CA Osasuna	38	28-10	10	8	20	36	63	-27
18	Deportivo de La Coruña	38	28-10	11	6	21	30	56	-26
19	Levante UD	38	27-11	10	7	21	37	48	-11
20	Linares CF	38	25-13	8	9	21	29	59	-30
