Rank	Building	Address	Height	Storeys	Completed
1	La Renaissance Apartments	424 Spadina Crescent E	m (ft)	24	1983
2	Hallmark Place	311 6th Ave N	m (ft)	27	1984
3	Saskatoon Square	410 22nd St E	m (ft)	17	1979
4	The Terrace Apartments	315 5th Ave N	m (ft)	22	1980
5	Radisson Hotel	405 20th St E	m (ft)	20	1983
6	The View on Fifth (formerly Milroy Apartments)	320 5th Ave N	m (ft)	22	1968
7	The Luther	1223 Temperance St	m (ft)	22	1978
8	Marquis Towers	241 5th Ave N	m (ft)	21	1966
9	Carlton Towers	325 5th Ave N	m (ft)	21	1968
10	Delta Bessborough	601 Spadina Crescent E	m (ft)	10	1932
11	The Tower at Midtown (formerly CN Tower)	201 1st Avenue South	m (ft)	12	1970
12	Saskatoon Towers	125 5th Avenue North	m (ft)	19	1972
13	Avord Towers	606 Spadina Crescent East	m (ft)	14	1964
