-	Average population (x 1000)	Live births	Deaths	Natural change	Crude birth rate (per 1000)	Crude death rate (per 1000)	Natural change (per 1000)
1950	36	1 061	418	643	29.5	11.6	17.9
1951	34	1 033	425	608	30.4	12.5	17.9
1952	36	1 037	456	581	28.8	12.7	16.1
1953	37	1 169	438	731	31.6	11.8	19.8
1954	37	1 209	457	752	32.7	12.4	20.3
1955	39	1 303	456	847	33.4	11.7	21.7
1956	38	1 458	468	990	38.4	12.3	26.1
1957	38	1 534	424	1 110	40.4	11.2	29.2
1958	39	1 553	450	1 103	39.8	11.5	28.3
1959	40	1 595	421	1 174	39.9	10.5	29.4
1960	42	1 714	450	1 264	40.8	10.7	30.1
1961	43	1 775	574	1 201	41.3	13.3	27.9
1962	44	1 733	504	1 229	39.4	11.5	27.9
1963	45	1 855	513	1 342	41.2	11.4	29.8
1964	46	1 867	485	1 382	40.6	10.5	30.0
1965	47	1 772	563	1 209	37.7	12.0	25.7
1966	47	1 895	515	1 380	40.3	11.0	29.4
1967	48	1 827	536	1 291	38.1	11.2	26.9
1968	49	1 738	538	1 200	35.5	11.0	24.5
1969	51	1 715	561	1 154	33.6	11.0	22.6
1970	52	1 660	437	1 223	31.9	8.4	23.5
1971	53	1 837	464	1 373	34.7	8.8	25.9
1972	55	1 723	529	1 194	31.3	9.6	21.7
1973	56	1 639	475	1 164	29.3	8.5	20.8
1974	57	1 860	497	1 363	32.6	8.7	23.9
1975	59	1 806	433	1 373	30.6	7.3	23.3
1976	61	1 642	466	1 176	26.9	7.6	19.3
1977	62	1 599	477	1 122	25.8	7.7	18.1
1978	62	1 796	466	1 330	29.0	7.5	21.5
1979	63	1 730	438	1 292	27.5	7.0	20.5
1980	63	1 830	444	1 386	29.0	7.0	22.0
1981	64	1 802	442	1 360	28.2	6.9	21.3
1982	64	1 552	482	1 070	24.3	7.5	16.7
1983	64	1 662	452	1 210	25.8	7.0	18.8
1984	65	1 739	488	1 251	26.9	7.6	19.4
1985	65	1 729	468	1 261	26.5	7.2	19.3
1986	66	1 722	498	1 224	26.2	7.6	18.6
1987	66	1 684	505	1 179	25.4	7.6	17.8
1988	67	1 643	504	1 139	24.7	7.6	17.1
1989	69	1 600	563	1 037	23.2	8.2	15.0
1990	70	1 617	543	1 074	23.3	7.8	15.5
1991	71	1 708	545	1 163	24.2	7.7	16.5
1992	71	1 603	522	1 081	22.7	7.4	15.3
1993	72	1 689	597	1 092	23.4	8.3	15.1
1994	74	1 700	550	1 150	23.0	7.5	15.6
1995	75	1 582	525	1 057	21.0	7.0	14.0
1996	76	1 611	566	1 045	21.1	7.4	13.7
1997	77	1 475	603	872	19.1	7.8	11.3
1998	79	1 412	570	842	17.9	7.2	10.7
1999	80	1 460	560	900	18.2	7.0	11.2
2000	81	1 512	553	959	18.6	6.8	11.8
2001	81	1 440	554	886	17.7	6.8	10.9
2002	84	1 481	647	834	17.7	7.7	10.0
2003	83	1 498	668	830	18.1	8.1	10.0
2004	83	1 435	611	824	17.3	7.4	9.9
2005	84	1 536	673	863	18.3	8.0	10.3
2006	85	1 467	664	803	17.3	7.8	9.4
2007	86	1 499	630	869	17.4	7.3	10.1
2008	87	1 546	662	884	17.8	7.6	10.2
2009	87	1 580	684	896	18.1	7.9	10.3
2010	87	1 504	664	840	17.4	7.7	9.7
