Year	Chassis	Engine	Tyres	Pts. ‡
1966	M2B	Ford 3.0 V8	F	2
1966	M2B	Serenissima 3.0 V8	F	1
1967	M4B M5A	BRM 2.0 V8 BRM 3.0 V12	G	3
1968	M5A	BRM 3.0 V12	G	3^
1968	M7A	Ford Cosworth DFV 3.0 V8	G	49
1969	M7A M7B M7C M9A	Ford Cosworth DFV 3.0 V8	G	38 (40)
1970	M7D M14A M14D	Ford Cosworth DFV 3.0	G	35^
1971	M14A M19A	Ford Cosworth DFV 3.0 V8	G	10^
1972	M19A M19C	Ford Cosworth DFV 3.0 V8	G	47 (49)
1973	M19A M19C M23	Ford Cosworth DFV 3.0 V8	G	58
1974	M23	Ford Cosworth DFV 3.0 V8	G	73 (75)
1975	M23	Ford Cosworth DFV 3.0 V8	G	53
1976	M23 M26	Ford Cosworth DFV 3.0 V8	G	74 (75)
1977	M23 M26	Ford Cosworth DFV 3.0 V8	G	60
1978	M26	Ford Cosworth DFV 3.0 V8	G	15
1979	M26 M28 M28B M28C M29	Ford Cosworth DFV 3.0 V8	G	15
1980	M29B M29C M30	Ford Cosworth DFV 3.0 V8	G	11
1981	M29C M29F MP4	Ford Cosworth DFV 3.0 V8	M	28
1982	MP4B	Ford Cosworth DFV 3.0 V8	M	69
1983	MP4/1C	Ford Cosworth DFV Cosworth DFY 3.0 V8	M	34
1983	MP4/1E	TAG 1.5 V6 T	M	0
1984	MP4/2	TAG 1.5 V6 T	M	143.5
1985	MP4/2B	TAG 1.5 V6 T	G	90
1986	MP4/2C	TAG 1.5 V6 T	G	96
1987	MP4/3	TAG 1.5 V6 T	G	76
1988	MP4/4	Honda RA168E 1.5 V6 T	G	199
1989	MP4/5	Honda RA109E 3.5 V10	G	141
1990	MP4/5B	Honda RA100E 3.5 V10	G	121
1991	MP4/6	Honda RA121E 3.5 V12	G	139
1992	MP4/6B MP4/7A	Honda RA122E 3.5 V12 Honda RA122E/B 3.5 V12	G	99
1993	MP4/8	Ford HBE7 3.5 V8	G	84
1994	MP4/9	Peugeot A6 3.5 V10	G	42
1995	MP4/10 MP4/10B MP4/10C	Mercedes FO 110 3.0 V10	G	30
1996	MP4/11	Mercedes FO 110 3.0 V10	G	49
1997	MP4/12	Mercedes FO110E 3.0 V10 Mercedes FO110F 3.0 V10	G	63
1998	MP4/13	Mercedes FO110G 3.0 V10	B	156
1999	MP4/14	Mercedes FO110H 3.0 V10	B	124
2000	MP4/15	Mercedes FO110J 3.0 V10	B	152
2001	MP4-16	Mercedes FO110K 3.0 V10	B	102
2002	MP4-17	Mercedes FO110M 3.0 V10	M	65
2003	MP4-17D	Mercedes FO110M 3.0 V10 Mercedes FO110P 3.0 V10	M	142
2004	MP4-19 MP4-19B	Mercedes FO 110Q 3.0 V10	M	69
2005	MP4-20	Mercedes FO 110R 3.0 V10	M	182
2006	MP4-21	Mercedes FO 108S 2.4 V8	M	110
2007	MP4-22	Mercedes FO 108T 2.4 V8	B	0
2008	MP4-23	Mercedes FO108T 2.4 V8	B	151
2009	MP4-24	Mercedes FO 108W 2.4 V8	B	71
2010	MP4-25	Mercedes FO 108X 2.4 V8	B	454
2011	MP4-26	Mercedes FO 108Y 2.4 V8	P	497
2012	MP4-27	Mercedes FO 108Z 2.4 V8	P	378
2013	MP4-28	Mercedes FO 108Z 2.4 V8	P	93*
