Name	Street address	Years as tallest	Height feet / m	Floors
The Blackstone	800 Washington Avenue	1929–1936	157 / 48	13
The Tides	1220 Ocean Drive	1936–1938	161 / 49	10
Shore Club Hotel	1901 Collins Avenue	1938–1940	200 / 61	19
Ritz Plaza Hotel	1701 Collins Avenue	1940–1970	204 / 62	12
5660 Condominiums	5660 Collins Avenue	1970–1982	220 / 67	22
Club Atlantis Condominiums	2555 Collins Avenue	1982–1987	240 / 73	24
South Pointe Tower	400 South Pointe Drive	1987–1995	260 / 79	25
La Tour	4201 Collins Avenue	1995–1996	292 / 89	26
La Gorce Palace	6301 Collins Avenue	1996–1997	345 / 105	34
Portofino Tower	300 South Pointe Drive	1997–2000	484 / 148	44
Green Diamond	4775 Collins Avenue	2000–present	559 / 172	44
Blue Diamond	4779 Collins Avenue	2000–present	559 / 172	44
