Date	Opponent	Score	Loss	Attendance	Record
June 1	@ Phillies	12 - 3	Bystrom (2-2)	30,076	28-20
June 2	@ Phillies	3 - 2	Smith (3-3)	40,102	28-21
June 3	@ Phillies	11 - 2	K. Gross (1-1)	30,278	29-21
June 5	@ Expos	3 - 2	Smith (5-5)	25,810	30-21
June 6	@ Expos	8 - 1	Reuschel (3-2)	15,686	30-22
June 7	@ Expos	2 - 1	Eckersley (0-2)	14,976	30-23
June 8	@ Cardinals	5 - 4	Stoddard (3-1)	38,457	30-24
June 9	@ Cardinals	5 - 0	Stuper (2-3)	48,869	31-24
June 10	@ Cardinals	2 - 0	Andujar (10-5)	43,035	32-24
June 11	Expos	2 - 1	Smith (3-4)	21,231	32-25
June 12	Expos	11 - 4	Lea (10-3)	22,512	33-25
June 13	Expos	7 - 4	Lucas (0-1)	22,388	34-25
June 14	Phillies	11 - 2	Bordi (2-1)	23,373	34-26
June 15	Phillies	5 - 2	Rainey (5-5)	27,489	34-27
June 16	Phillies	8 - 2	Reuschel (3-3)	40,723	34-28
June 17	Phillies	9 - 7	Eckersley (1-3)	36,882	34-29
June 19	@ Pirates	4 - 3	Tudor (4-4)	9,377	35-29
June 20	@ Pirates	5 - 1	Rainey (5-6)	7,767	35-30
June 21	@ Pirates	8 - 6	Eckersley (1-4)	8,267	35-31
June 22	Cardinals	9 - 3	Stuper (2-5)	33,723	36-31
June 23	Cardinals	12 - 11	Rucker (1-1)	38,079	37-31
June 24	Cardinals	5 - 0	Horton (3-1)	39,494	38-31
June 25	Pirates	3 - 0	Rainey (5-7)	19,036	38-32
June 26	Pirates	9 - 0	Eckersley (1-5)	0	38-33
June 26	Pirates	9 - 8	McWilliams (4-6)	28,369	39-33
June 27	Pirates	8 - 7	Scurry (1-4)	37,055	40-33
June 28	@ Dodgers	5 - 3	Pena (8-4)	37,659	41-33
June 29	@ Dodgers	7 - 1	Sutcliffe (2-1)	43,700	41-34
June 30	@ Dodgers	14 - 4	Howell (0-1)	47,991	42-34
