Pick #	Player	Position	Nationality	NHL team	College/junior/club team
43	Hartland Monahan	Right Wing	Canada	California Golden Seals	Montreal Junior Canadiens (OHA)
44	George Hulme	Goaltender	Canada	Detroit Red Wings	St Catharines Black Hawks (OHA)
45	Ed Sidebottom	Defence	Canada	Montreal Canadiens	Estevan Bruins (WCHL)
46	Gerry Methe	Left Wing	Canada	Pittsburgh Penguins	Oshawa Generals (OHA)
47	Bob Richer	Centre	Canada	Buffalo Sabres	Trois-Rivières Draveurs (QMJHL)
48	Neil Komadoski	Defence	Canada	Los Angeles Kings	Winnipeg Jets (WCHL)
49	Mike Legge	Left Wing	Canada	Minnesota North Stars	Winipeg Jets (WCHL)
50	Ted Scharf	Defence	Canada	Philadelphia Flyers	Kitchener Rangers (OHA)
51	Rick Cunningham	Defence	Canada	Toronto Maple Leafs	Peterborough Petes (OHA)
52	Derek Harker	Defence	Canada	St. Louis Blues	Edmonton Oil Kings (WCHL)
53	Greg Hubick	Defence	Canada	Montreal Canadiens	University of Minnesota Duluth (WCHA)
54	Clyde Simon	Right Wing	Canada	Chicago Black Hawks	St Catharines Black Hawks (OHA)
55	Jerry Butler	Right Wing	Canada	New York Rangers	Hamilton Red Wings (OHA)
56	Dave Hynes	Left Wing	United States	Boston Bruins	Harvard University (ECAC)
