Season	Winner	Team	Goals	Assists	Points
2009	Dan Watt	Winnipeg Saints	62	74	136
2008	Bryan Kauk	Dauphin Kings	46	72	118
2007	Kyle Howarth	Selkirk Steelers	38	103	141
2006	Joey Moggach	Dauphin Kings	55	63	118
2005	A.J. Tucker	Waywayseecappo Wolverines	27	55	82
2004	Aaron Starr	OCN Blizzard	59	59	118
2001	Lee Stubbs	Winnipeg Saints	43	67	110
1999	Konrad McKay	OCN Blizzard	NA	NA	NA
1998	Jedd Crumb	Winnipeg South Blues	61	51	112
1997	Chris Thomas	Winkler Flyers	NA	NA	NA
1995	Cory Cyrenne	St. Boniface Saints	35	77	112
1994	Ryan Smith	St. James Canadians	58	67	125
1992	Jamie Penner	Winkler Flyers	NA	NA	NA
1985	Brian Thompson	Dauphin Kings	53	57	110
1983	Mike Ridley	St. Boniface Saints	91	100	191
1981	Darren Boyko	St. Boniface Saints	48	68	116
1977	Ken Krentz	Selkirk Steelers	35	93	128
1976	Ken Krentz	Selkirk Steelers	45	61	109
1975	Jim Misener	Dauphin Kings	73	62	135
1974	Steve Ford	Portage Terriers	33	58	91
1973	Charlie Simmer	Kenora Muskies	43	68	111
1972	Kim Murphy	Kenora Muskies	40	51	91
1971	Dan Tremblay	Dauphin Kings	37	72	109
1970	Ken George	Kenora Muskies	39	41	80
1969	Dennis Schick	Dauphin Kings	34	50	84
1968	Wayne Chernecki	West Kildonan North Stars	42	35	77
1967	Bobby Clarke	Flin Flon Bombers	71	112	183
1966	Terry Jones	Winnipeg Rangers	43	48	91
1965	Ken Sucharski	Winnipeg Rangers	35	37	72
1964	John Vopni	Brandon Wheat Kings	35	35	70
1963	Bob Stoyko	Brandon Wheat Kings	28	40	68
1962	Gerry Kell	Brandon Wheat Kings	29	53	82
1961	George Hill	Brandon Wheat Kings	45	38	83
1960	George Hill	Brandon Wheat Kings	31	31	62
1959	Laurie Langrell	Winnipeg Braves	42	21	63
1958	Gord Labossiere	Transcona Rangers	44	35	79
1957	Ray Brunel	St. Boniface Canadiens	57	48	105
1956	Ray Brunel	St. Boniface Canadiens	NA	NA	NA
1955	Art Stratton	Winnipeg Barons	50	26	76
1955	Gordon Stratton	Winnipeg Barons	39	37	76
1954	Ab McDonald	St. Boniface Canadiens	33	25	58
1953	Ross Jones	Brandon Wheat Kings	31	26	57
1952	Del Topoll	Brandon Wheat Kings	24	28	52
1951	Ron Rohmer	Brandon Wheat Kings	37	36	73
1950	Reg Abbott	Brandon Wheat Kings	27	27	54
1949	Bill McCracken	Winnipeg Monarchs	NA	NA	NA
1948	Odie Lowe	Winnipeg Canadiens	23	28	51
1947	Ray Manson	Winnipeg Rangers	22	19	41
1946	Don Raleigh	Brandon Elks	24	24	48
1943	Mike Yaschuk	St. Boniface Athletics	NA	NA	NA
1942	Lin Bend	Portage Terriers	27	31	58
1940	Bill Benson	Winnipeg Monarchs	19	20	39
1938	Terry Reardon	Brandon Wheat Kings	29	16	45
1937	William Meronek	Portage Terriers	21	20	41
1935	Babe Pratt	Kenora Thistles	19	23	42
1934	Babe Pratt	Kenora Thistles	14	7	21
1933	Bryan Hextall	Portage Terriers	10	8	18
