Year	Number	Team	Co-driver	Position	Laps
1994	18	Dick Johnson Racing	Allan Grice	7th	160
1995	18	Dick Johnson Racing	Charlie O'Brien	7th	158
1996	18	Dick Johnson Racing	Tommy Kendall	8th	158
1997	18	Dick Johnson Racing	Craig Baird	4th	158
1998	17	Dick Johnson Racing	Dick Johnson	DNF	60
1999	17	Dick Johnson Racing	Dick Johnson	4th	161
2000	17	Dick Johnson Racing	Cameron McLean	4th	161
2001	17	Dick Johnson Racing	Paul Radisich	DNF	63
2002	17	Dick Johnson Racing	Paul Radisich	DNF	29
2003	17	Dick Johnson Racing	Warren Luff	13th	156
2004	17	Dick Johnson Racing	Warren Luff	7th	161
2005	17	Dick Johnson Racing	Will Davison	19th	133
2006	17	Dick Johnson Racing	Will Davison	DNF	27
2007	17	Dick Johnson Racing	Will Davison	3rd	161
2008	18	Dick Johnson Racing	Will Davison	6th	161
2009	17	Dick Johnson Racing	James Courtney	24th	131
2010	17	Dick Johnson Racing	Marcus Marshall	12th	161
2011	17	Dick Johnson Racing	David Besnard	DNF	112
