Rank	First quarter	Second quarter	Third quarter	Fourth quarter
1	Exxon Mobil 452,505	Exxon Mobil 465,652	Exxon Mobil 403,366	Exxon Mobil 406,067
2	PetroChina 423,996	PetroChina 341,140.3	PetroChina 325,097.5	PetroChina 259,836
3	General Electric 369,569	Industrial and Commercial Bank of China 257,004.4	Industrial and Commercial Bank of China 237,951.5	Wal-Mart 219,898
4	Gazprom 299,764	Microsoft 211,546.2	Microsoft 229,630.7	China Mobile 201,291
5	China Mobile 298,093	China Mobile 200,832.4	HSBC 198,561.1	Procter & Gamble 184,576
6	Industrial and Commercial Bank of China 277,236	Wal-Mart 188,752.0	China Mobile 195,680.4	Industrial and Commercial Bank of China 173,930
7	Microsoft 264,132	China Construction Bank 182,186.7	Wal-Mart 189,331.6	Microsoft 172,929
8	AT&T 231,168	Petrobras 165,056.9	Petrobras 189,027.7	AT&T 167,950
9	Royal Dutch Shell 220,110	Johnson & Johnson 156,515.9	China Construction Bank 186,816.7	Johnson & Johnson 166,002
10	Procter & Gamble 215,640	Royal Dutch Shell 156,386.7	Royal Dutch Shell 175,986.1	General Electric 161,278
