Name	Years	Regular season	Playoffs	Total
Bobby Hull Category:Articles with hCards	1957–1972	604	62	666
Stan Mikita Category:Articles with hCards	1959–1979	541	59	600
Steve Larmer Category:Articles with hCards	1981–1993	406	45	451
Denis Savard Category:Articles with hCards	1980–1990 1995–1997	377	61	438
Dennis Hull Category:Articles with hCards	1964–1977	298	33	331
Jeremy Roenick Category:Articles with hCards	1988–1996	267	35	302
Tony Amonte Category:Articles with hCards	1994–2002	268	13	281
Hubert "Pit" Martin Category:Articles with hCards	1967–1977	243	26	269
Bill Mosienko Category:Articles with hCards	1942–1955	258	10	268
Ken Wharram Category:Articles with hCards	1952–1969	252	16	268
