Week	Date	Opponent	Result	Attendance
1	September 7, 1980	at New England Patriots	L 34–17	49,222
2	September 15, 1980	Houston Oilers	L 16–7	80,243
3	September 21, 1980	Kansas City Chiefs	W 20–13	63,614
4	September 28, 1980	at Tampa Bay Buccaneers	W 34–27	65,540
5	October 5, 1980	Denver Broncos	L 19–16	81,065
6	October 12, 1980	at Seattle Seahawks	W 27–3	61,366
7	October 19, 1980	Green Bay Packers	W 26–21	75,548
8	October 26, 1980	Pittsburgh Steelers	W 27–26	79,095
9	November 3, 1980	Chicago Bears	W 27–21	84,225
10	November 9, 1980	at Baltimore Colts	W 28–27	45,369
11	November 16, 1980	at Pittsburgh Steelers	L 16–13	54,563
12	November 23, 1980	Cincinnati Bengals	W 31–7	79,253
13	November 30, 1980	at Houston Oilers	W 17–14	51,514
14	December 7, 1980	New York Jets	W 17–14	78,454
15	December 14, 1980	at Minnesota Vikings	L 28–23	42,202
16	December 21, 1980	at Cincinnati Bengals	W 27–24	50,058
