Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Average 1	Points 2
1	Boston United	46	16	3	88	34	2.59	70
2	Scarborough	46	9	11	72	39	1.85	61
3	Wigan Athletic	46	14	9	69	38	1.82	60
4	Altrincham	46	16	8	75	55	1.36	60
5	Bradford Park Avenue	46	17	10	63	50	1.26	56
6	Stafford Rangers	46	11	15	63	46	1.37	51
7	Gainsborough Trinity	46	13	15	70	50	1.40	49
8	Northwich Victoria	46	15	14	74	62	1.19	49
9	Netherfield	46	9	17	68	65	1.05	49
10	Macclesfield Town	46	16	14	58	47	1.23	48
11	Ellesmere Port Town	46	11	17	52	56	0.93	47
12	Skelmersdale United	46	16	15	58	59	0.98	46
13	Bangor City	46	13	17	70	60	1.17	45
14	Mossley	46	11	18	70	73	0.96	45
15	Morecambe	46	11	18	62	70	0.89	45
16	Great Harwood	46	15	17	63	74	0.85	43
17	South Liverpool	46	19	15	47	57	0.82	43
18	Runcorn	46	12	19	75	78	0.96	42
19	Goole Town	46	13	20	64	73	0.88	39
20	South Shields	46	4	25	64	81	0.79	38
21	Matlock Town	46	11	24	42	80	0.53	33
22	Lancaster City	46	11	25	53	78	0.68	31
23	Barrow	46	6	28	52	101	0.51	30
24	Fleetwood	46	15	26	31	77	0.40	25
