Outcome	Date	Tournament	Surface	Opponent	Score
Winner	7 March 2005	Portugal F1, Faro , Portugal	Hard	Marcel Granollers	6–2, 6–7 (3–7) , 6–3
Winner	21 March 2005	Portugal F3, Lagos , Portugal	Hard	Marcel Granollers	6–1, 6–3
Winner	17 October 2005	Venezuela F5, Caracas , Venezuela	Hard	Piero Luisi	7–5, 6–2
Winner	6 March 2006	Nigeria F1, Benin City , Nigeria	Hard	Valentin Sanon	7–6 (7–2) , 7–6 (7–3)
Winner	10 April 2006	Portugal F3, Faro , Portugal	Hard	Rui Machado	7–6 (7–4) , 1–6, 6–4
Runner-up	1 May 2006	Morocco F5, Rabat , Morocco	Clay	Lamine Ouahab	6–4, 6–3
Winner	5 June 2006	Sassuolo , Italy	Clay	Gorka Fraile	6–3, 7–5
Winner	10 September 2007	Seville , Spain	Clay	Pablo Andújar	6–1, 6–3
Winner	2 June 2008	Sassuolo, Italy (2)	Clay	Santiago Ventura	6–2, 6–3
Winner	11 August 2008	Istanbul , Turkey	Hard	Benedikt Dorsch	6–4, 1–6, 6–3
Runner-up	3 May 2009	Tunis , Tunisia	Clay	Gastón Gaudio	6–2, 1–6, 6–3
Winner	4 October 2009	Napoli , Italy	Clay	Potito Starace	2–6, 6–1, 6–4
Winner	20 June 2010	Milan , Italy	Clay	Máximo González	6–1, 7–5
