Competition	Venue	Year	Category	Result
World Championships	POL Leszno	1999	World Class	Bronze
World Championships	ESP Lillo	2001	World Class	Bronze
World Championships	SVK Nitra	2003	World Class	Gold
World Championships	NOR Elverum	2004	Club Class	Gold
World Championships	FRA Saint-Auban	2005	Grand Prix	Gold
European Championships	SVK Nitra	2005	Club Class	Gold
World Championships	FRA Vinon-sur-Verdon	2006	Club Class	Gold
European Championships	LTU Pociunai	2007	Club Class	Gold
World Championships	NZL Omarama	2007	Grand Prix	Gold
World Air Games	ITA Torino	2009	Grand Prix	Gold
World Championships	CHL Santiago de Chile	2010	Grand Prix	Gold
World Championships	SVK Prievidza	2010	Standard Class	Gold
European Championships	SVK Nitra	2011	Standard Class	Gold
World Championships	USA Uvalde	2012	15m	Gold
World Championships	Argentina Chavez	2013	Standard Class	Gold
European Championships	FRA Vinon-sur-Verdon	2013	18m	Gold
European Championships	POL Ostrów Wielkopolski	2013	Standard Class	Gold
