Year	Men's singles	Women's singles	Men's doubles	Mixed doubles
1954	E. B. Choong (MAL)	No competition	E. L. Choong E. B. Choong (MAL)	No competition
1955	Finn Kobberö (DEN)	No competition	Finn Kobberö J. H. Hansen (DEN)	No competition
1956	Finn Kobberö (DEN)	No competition	Finn Kobbero J. H. Hansen (DEN)	No competition
1957	No competition	No competition	No competition	No competition
1958	Knud Aage Nielsen (DEN)	No competition	Bo Nilsson Goran Wahlquist (SWE)	No competition
1959	Bertil Glans (SWE)	Hanne Andersen (DEN)	Bertil Glans Berndt Dahlberg (SWE)	Leif Jensen Hanne Andersen (DEN)
1960	Charoen Wattanasin (THA)	Irmgard Latz (FRG)	Bertil Glans Ingemar Eliasson (SWE)	Hans Sperre Randi Holand (NOR)
1961	Leif Ekedahl (SWE)	Randi Holand (NOR)	Leif Ekadahl Kurt Johnsson (SWE)	Hans Sperre Randi Holand (NOR)
1962	No competition	No competition	No competition	No competition
1963	Tom Christensen-Bacher (DEN)	Lisbeth von Barnekow (DEN)	Bengt Ake Jonsson Ingemar Eliasson (SWE)	Svend Andersen Liselotte Nielsen (DEN)
1964	Kurt Johnsson (SWE)	Pernille Mölgaard Hansen (DEN)	Bengt Ake Jonsson Willi Lund (SWE)	Bengt Ake Jönsson Gunilla Dahlstrom (SWE)
1965	Sture Johnsson (SWE)	Eva Twedberg (SWE)	Morten Pommergaard Bent Rose (DEN)	Morten Pommergaard Pernille Molgaard Hansen (DEN)
1966	No competition	No competition	No competition	No competition
1967	Erland Kops (DEN)	Ulla Strand (DEN)	Erland Kops Elo Hansen (DEN)	Elo Hansen Lisbeth von Barnekow (DEN)
1968	Sture Johnsson (SWE)	Eva Twedberg (SWE)	Tom Bacher Klaus Kaagaard (DEN)	Klaus Kaagaard Jette Foge (DEN)
1969	Klaus Kaagaard (DEN)	Eva Twedberg (SWE)	Jorgen Mortensen Klaus Kaagaard (DEN)	Sture Johnsson Eva Twedberg (SWE)
1970	Jörgen Mortensen (DEN)	Lisbeth von Barnekow (DEN)	Svend Pri Per Walsoe (DEN)	Svend Pri Ulla Strand (DEN)
1971	Svend Pri (DEN)	Eva Twedberg (SWE)	Kurt Johnsson Thomas Kihlstrom (SWE)	Gert Perneklo Eva Twedberg (SWE)
1972	Thomas Kihlstrom (SWE)	Eva Twedberg (SWE)	Klaus Kaagaard Per Walsoe (DEN)	Per Walsoe Pernille Kaagaard (DEN)
1973	Elo Hansen (DEN)	Joke van Beusekom (NED)	Thomas Kihlstrom Bengt Froman (SWE)	Fraser Gow Christine Stewart (SCO)
1974	No competition	No competition	No competition	No competition
1975	Flemming Delfs (DEN)	Lene Köppen (DEN)	Elo Hansen Flemming Delfs (DEN)	Elo Hansen Inge Borgstrom (DEN)
1976	Sture Johnsson (SWE)	Anette Borjesson (SWE)	Bengt Froman Thomas Kihlstrom (SWE)	Elo Hansen Pernille Kaagaard (DEN)
1977	Morten Frost (DEN)	Inge Borgstrom (SWE)	Ola Eriksson Christian Lundberg (SWE)	Mogens Neergaard Inge Borgstrom (DEN)
1978	Steen Fladberg (DEN)	Lonny Bostofte (DEN)	Jesper Helledie Steen Fladberg (DEN)	Steen Fladberg Lonny Bostofte (DEN)
1979	No competition	No competition	No competition	No competition
1980	Thomas Kihlstrom (SWE)	Else Thoresen (NOR)	Thomas Kihlstrom Lars Wengberg (SWE)	Kenneth Larsen Dorte Kjaer (DEN)
1981	Kenneth Larsen (DEN)	Pia Nielsen (DEN)	Goran Carlsson Klaus Gunar Jonsson (SWE)	Mark Christiansen Kirten Meier (DEN)
1982	Kenneth Larsen (DEN)	Dorte Kjaer (DEN)	Mogens Neergaard Kenneth Larsen (DEN)	Mark Christiansen Jane Pedersen (DEN)
1983	Torben Carlsen (DEN)	Agnete Juul (DEN)	Torben Carlsen Kenneth Larsen (DEN)	Kenneth Larsen Gitte Paulsen (DEN)
1984	Ulf Persson (SWE)	Marian Christiansen (DEN)	Manfred Mellqvist Bengt Mellqvist (SWE)	Stellan Osterberg Catharina Andersson (SWE)
1985	Kim Brodersen (DEN)	Lotte Olsen (DEN)	Poul Erik Hoyer Larsen Claus Thomsen (DEN)	Kenneth Larsen Hanne Adsbol (DEN)
1986	Peter Axelsson (SWE)	Jeanette Kuhl (SWE)	Peter Axelsson Jens Olsson (SWE)	Jan Holst Christensen Birgitte Hindse (DEN)
1987	Michael Sogaard (DEN)	Maria Henning (SWE)	Rikard Ronnblom Erik Soderberg (SWE)	Manfred Mellqvist Lillian Johansson (SWE)
1988	Chris Rees (WAL)	Sonja Melink (NED)	Uun Santosa Seno The (NED)	Chris Rees Sarah Doody (WAL)
1989	Thomas Stuer Lauridsen (DEN)	Camilla Martin (DEN)	Erik Lia Hans Sperre jr. (NOR)	Thomas Stuer Lauridsen Lotte Olsen (DEN)
1990	No competition	No competition	No competition	No competition
1991	Tony Tuominen (FIN)	Helle H. Andersen (DEN)	Jan Erik Antonsson Stellan Osterberg (SWE)	Jan Eric Antonsson Astrid Crabo (SWE)
1992	Steve Butler (ENG)	Catrine Bengtsson (SWE)	Martin Lundgard Hansen Michael Sogaard (DEN)	Lars Pedersen Anne Mette Bille (DEN)
1993	Thomas Johansson (SWE)	Catrine Bengtsson (SWE)	Jan Jorgensen Thomas Damgaard (DEN)	Trond Waland Camilla Silwer (NOR)
1994	Peter Rasmussen (DEN)	Margit Borg (SWE)	Jesper Larsen (DEN) Tom Reidy (USA)	Robert Larsson Maria Bengtsson (SWE)
1995	Rikard Magnusson (SWE)	Marina Andrievskaya (SWE)	Jim Laugesen Thomas Stavngaard (DEN)	Thomas Stavngaard Ann Jorgensen (DEN)
1996	Lin Liwen (China)	Kelly Morgan (WAL)	Julian Robertson Nathan Robertson (ENG)	Julian Robertson Gail Emms (ENG)
1997	Jens Olsson (SWE)	Karolina Ericsson (SWE)	Julian Robertson Nathan Robertson (ENG)	S. T. Poulsen Jane F. Bramsen (DEN)
1998	Henrik Bengtsson (SWE)	Marina Andrievskaya (SWE)	Lars Paaske Jesper Mikla (DEN)	Lars Paaske Jane F. Bramsen (DEN)
1999	Seung Mo Shon (Korea)	Ji Hyun Kim (Korea)	Young Hyun Kim Bang Eun Yim (Korea)	Young Hyun Kim Kyung Jin Yim (Korea)
2000	Jim Ronny Andersen (NOR)	Anu Weckstrom (FIN)	Peter Axelsson Imanuel Hirschfeldt (SWE)	Ola Molin Johanna Persson (SWE)
2001	Irwansyah (WAL)	Anu Weckstrom (FIN)	Martin Delfs Jonas Glyager Jensen (DEN)	Tommy Sorensen Karina Sorensen (DEN)
2002	Kasperi Salo (FIN)	Tine Rasmussen (DEN)	Alexandr Nikolaenko Nikolaj Nikolaenko (RUS)	Jörgen Olsson Frida Andreasson (SWE)
2003	Per-Henrik Croona (SWE)	Tine Rasmussen (DEN)	Jae Jin Lee Ji Man Wang (KOR)	Jae Jin Lee Eun Woo Lee (KOR)
2004	Björn Joppien (GER)	Petra Overzier (GER)	Kristof Hopp Ingo Kindervater (GER)	Fredrik Bergström Johanna Persson (SWE)
2005	Eric Pang (NED)	Juliane Schenk (GER)	Vidre Wilbowo (SWE) Iman Sodikin Irawan (INA)	Kristof Hopp Birgit Overzier (GER)
2006	Hans-Kristian Vittinghus (DEN)	Sara Persson (SWE)	Anton Nazarenko Andrey Ashmarin (RUS)	Imam Sodikin Irawan (INA) Elin Bergblom (SWE)
2007	Marc Zwiebler	Juliane Schenk	Howard Bach Bob Malaythong	Kristof Hopp Birgit Overzier
2008	Ville Lang	Zhang Xi	Michael Fuchs Ingo Kindervater	Michael Fuchs Annekatrin Lillie
2009	Hans-Kristian Vittinghus	Juliane Schenk	Rasmus Bonde Simon Mollyhus	Marcus Ellis Heather Olver
