Season	Team	Country	Apps	Goals
1997	Sogdiana Jizak	Uzbekistan	23	1
1998	Sogdiana Jizak	Uzbekistan	11	1
1998	FC Pakhtakor Tashkent	Uzbekistan	6	0
2000	Sogdiana Jizak	Uzbekistan	15	0
2000	Qyzylqum Zarashfan	Uzbekistan	16	6
2001	Qyzylqum Zarashfan	Uzbekistan	27	5
2002	Qyzylqum Zarashfan	Uzbekistan	23	0
2003	FC Ordabasy	Kazakhstan	27	2
2004	FC Ordabasy	Kazakhstan	13	2
2004	FC Yassi	Kazakhstan	11	0
2005	FC Ordabasy	Kazakhstan	14	0
2006	Sogdiana Jizak	Uzbekistan	14	2
2006	FC Atyrau	Kazakhstan	14	2
2007	FC Atyrau	Kazakhstan	2	0
2009	FK Samarqand-Dinamo	Uzbekistan	0	0
