#	Date	Opponent	Site/Stadium	Score	Win	Loss	Save	Attendance	Overall Record	Pac-10 Record
22	April 1	Stanford	Jackie Robinson Stadium	6-5 10	D. Klein (2-0)	A. Pracher (4-1)	None	921	22–0	1–0
23	April 2	Stanford	Jackie Robinson Stadium	8-4	J. Pries (3-1)	T. Bauer (5-1)	None	1472	22–1	1–1
24	April 3	Stanford	Jackie Robinson Stadium	7-5	R. Rasmussen (4-0)	B. Mooneyham (0-4)	D. Klein (6)	1614	23–1	2–1
25	April 6	Cal State Fullerton	Jackie Robinson Stadium	6-1	D. Floro (1-0)	G. Claypool (3-1)	None	1517	23–2	2–1
26	April 9	Oregon State	Goss Stadium	4-1	G. Peavey (3-0)	M. Beacom (1-1)	None	2517	23–3	2–2
27	April 10	Oregon State	Goss Stadium	3-1 16	G. Claypool (4-1)	R. Gorton (3-1)	None	2974	24–3	3–2
28	April 11	Oregon State	Goss Stadium	8-2	R. Rasmussen (5-0)	M. Boyd (4-1)	E. Goeddel (1)	2068	25–3	4–2
29	April 13	UC Riverside	Sports Complex	10-0	G. Claypool (5-1)	E. Orozco (0-2)	None	551	26–3	4–2
30	April 16	Oregon	Jackie Robinson Stadium	5-4	S. McGough (4-0)	G. Cole (6-1)	None	1132	26–4	4–3
31	April 17	Oregon	Jackie Robinson Stadium	8-4	J. LaTempa (3-2)	T. Bauer (5-2)	None	1320	26–5	4–4
32	April 18	Oregon	Jackie Robinson Stadium	5-1	R. Rasmussen (6-0)	A. Keudell (4-4)	D. Klein (7)	1986	27–5	5–4
33	April 20	Long Beach State	Jackie Robinson Stadium	16-4	E. Magallon (1-1)	M. Drummond (0-1)	None	362	27–6	5–4
34	April 23	Arizona	Kindall Field	6-3 10	D. Klein (3-0)	A. Bill (1-1)	None	1050	28–6	6–4
35	April 24	Arizona	Kindall Field	6-2	T. Bauer (6-2)	K. Simon (6-3)	None	1223	29–6	7–4
36	April 25	Arizona	Kindall Field	6-4	B. Bandilla (4-3)	R. Rasmussen (6-1)	N. Cunningham (3)	842	29–7	7–5
37	April 27	UC Irvine	Jackie Robinson Stadium	4-1	G. Claypool (6-1)	E. Brock (3-3)	D. Klein (8)	581	30–7	7–5
