Scorer	Club	League goals	FA Cup goals	League Cup goals	Total
Dave Gwyther	Swansea City	18	7	2	27
Dudley Roberts	Mansfield Town	22	1	1	24
Gerry Ingram	Preston North End	22	0	2	24
John Rudge	Torquay United	18	2	1	21
George Andrews	Shrewsbury Town	18	2	0	20
Ernie Moss	Chesterfield	16	3	1	20
Kevin Randall	Chesterfield	19	0	0	19
George Jones	Bury	18	1	0	19
Bill Atkins	Halifax Town	18	0	1	19
Robin Stubbs	Bristol Rovers	17	1	1	19
Bruce Bannister	Bradford City	16	3	0	19
Albert Kinsey	Wrexham	16	0	1	17
Les Barrett	Fulham	15	0	2	17
John James	Port Vale	15	0	0	15
Reg Jenkins	Rochdale	13	0	2	15
Steve Earle	Fulham	13	0	2	15
John Stenson	Mansfield Town	12	1	2	15
Ray Graydon	Bristol Rovers	13	0	1	14
Arfon Griffiths	Wrexham	13	0	1	14
Alf Arrowsmith	Rochdale	12	2	0	14
Gordon Cumming	Reading	11	3	0	14
Colin Taylor	Walsall	13	0	0	13
Harold Jarman	Bristol Rovers	12	1	0	13
Dick Habbin	Reading	12	1	0	13
Bobby Ham	Preston North End / Bradford City	10 + 2	0	0 + 1	13
Kit Napier	Brighton & Hove Albion	11	2	0	13
Tom White	Bury	11	1	1	13
Ken Beamish	Tranmere Rovers	10	0	3	13
Andy Lochhead	Aston Villa	9	0	4	13
Mike Green	Gillingham	11	1	0	12
Alf Wood	Shrewsbury Town	11	0	1	12
Ian Hamilton	Aston Villa	9	0	3	12
Pat McMahon	Aston Villa	8	0	4	12
Dave Lennard	Halifax Town	11	0	0	11
Don Hutchins	Plymouth Argyle	11	0	0	11
George Johnston	Fulham / Walsall	9 + 1	1	0	11
Geoff Wowden	Aston Villa / Birmingham City	5 + 3	0	0 + 3	11
Ronnie Moore	Tranmere Rovers	10	0	0	10
Brian Yeo	Gillingham	10	0	0	10
David Cross	Rochdale	9	1	0	10
Neil Hague	Rotherham United	9	1	0	10
Leslie Lea	Barnsley	9	1	0	10
Steve Briggs	Doncaster Rovers	9	0	1	10
Keith Brierley	Halifax Town	9	0	1	10
Brian Evans	Swansea City	7	3	0	10
