Year	Film	Director	Producer	Cinematographer
1971	Business Is Business	No	No	Yes
1973	Turkish Delight	No	No	Yes
1975	Keetje Tippel	No	No	Yes
1981	Private Lessons	No	No	Yes
1983	Cujo	No	No	Yes
1983	The Fourth Man	No	No	Yes
1983	All the Right Moves	No	No	Yes
1984	Bad Manners (aka: Growing Pains )	No	No	Yes
1985	Flesh & Blood	No	No	Yes
1986	Ruthless People	No	No	Yes
1987	Who's That Girl?	No	No	Yes
1987	Leonard Part 6	No	No	Yes
1988	Die Hard	No	No	Yes
1989	Black Rain	No	No	Yes
1989	Bert Rigby, You're a Fool	No	No	Yes
1990	The Hunt for Red October	No	No	Yes
1990	Flatliners	No	No	Yes
1992	Lethal Weapon 3	No	No	Yes
1992	Basic Instinct	No	No	Yes
1994	Speed	Yes	No	No
1996	Twister	Yes	No	No
1997	Speed 2: Cruise Control	Yes	Yes	No
1999	The Haunting	Yes	No	No
2002	Equilibrium	No	Yes	No
2002	Minority Report	No	Yes	No
2003	Lara Croft Tomb Raider: The Cradle of Life	Yes	No	No
2012	Nema Aviona Za Zagreb	No	No	Yes
2013	Five Minutes to Live	Yes	No	No
