Country	Contestant	Age	Height (cm)	Height (ft)	Hometown
Argentina	María Mercedes Viaña	19	174	5'8.5"	Santiago del Estero
Aruba	Christina Trejo	21	175	5'9"	Companashi
Australia	Kelly Louise Macguire	23	174	5'8.5"	Sydney
Bahamas	Aisha Delaney	21	178	5'10"	Nassau
Belarus	Yana Supranovich	21	180	5'11"	Minsk
Belgium	Cassandra D'Ermilio	21	175	5'9"	Quaregnon
Bolivia	Laura Olivera	18	173	5'8"	Yacuiba
Brazil	Rayanne Morais	21	174	5'8.5"	Divinópolis
Canada	Chanel Beckenlehner	21	173	5'8"	Toronto
China	Wang Qian	19	171	5'7.5"	Chengdu
Chinese Taipei	Yi Chih Chen	22	168	5'6"	Taipei
Colombia	Lina Mosquera	20	180	5'11"	Quibdó
Cuba	Patricia Rosales	23	179	5'10.5"	Niquero
Czech Republic	Darja Jacukevičová	22	180	5'11"	Veselí nad Moravou
Dominican Republic	Victoria Fernández	22	178	5'10"	Santiago
Ecuador	Isabella Chiriboga	20	174	5'8.5"	Quito
El Salvador	Vanessa Hueck	22	178	5'10"	San Salvador
Ethiopia	Rahel Woldekirkos	24	178	5'10"	Addis Ababa
Finland	Linda Wikstedt	20	174	5'8.5"	Helsinki
France	Mathilde Muller	20	176	5'9.5"	Valence
Gabon	Cynthia Mobumba	22	172	5'8"	Ngounié
Georgia	Maria Sarchimelia	25	174	5'8.5"	Tbilisi
Germany	Valora Roucek	19	168	5'6"	Cologne
Greece	Diana Igropoulou	19	177	5'9.5"	Athens
Guadeloupe	Joelle Clamy	25	184	6'0.5"	Petit-Canal
Honduras	Kenia Andrade	23	170	5'7"	Los Angeles
Hong Kong	Germaine Li	22	170	5'7"	Hong Kong
India	Harshita Saxena	22	175	5'9"	Goa
Indonesia	Ayu Diandra Sari	21	175	5'9"	Denpasar
Japan	Yuka Nakayama	19	173	5'8"	Fukuoka
Korea	Seo Eun-mi	22	175	5'9"	Seoul
Kyrgyzstan	Altynai Ismankulova	21	170	5'7"	Bishkek
Latvia	Anda Pudule	22	173	5'8"	Riga
Lebanon	Sarah Mansour	20	174	5'8.5"	Beirut
Macau	Yvonne Yang	21	179	5'10.5"	Macau
Malaysia	Tay Tze Juan	20	173	5'8"	Batu Pahat
Martinique	Nathaly Peters	19	175	5'9"	Fort de France
Mexico	Anagabriela Espinoza	21	180	5'11"	Monterrey
Moldova	Catalina Stascu	18	173	5'8"	Chişinău
Mongolia	Badamgerel Khurelbaatar	19	178	5'10"	Ulaan Baatar
Netherlands	Roline Hund	20	174	5'8.5"	Almere
Nicaragua	Slilma Ulloa	23	168	5'6"	Matagalpa
Northern Marianas	Sorene Maratita	19	163	5'4"	Saipan
Norway	Beatrice Delås	18	175	5'9"	Sellebakk
Panama	Joyce Jacobi	21	170	5'7"	David
Paraguay	Romina Bogado	25	175	5'9"	Asunción
Peru	Alejandra Pezet	20	176	5'9.5"	Lima
Philippines	Melody Gersbach †	23	175	5'7"	Daraga
Poland	Angelika Jakubowska	20	176	5'9.5"	Lubań
Puerto Rico	Mónica Pastrana	20	178	5'10"	Manatí
Romania	Iuliana Capsuc	20	174	5'8.5"	Bucharest
Russia	Ksenia Hrabovskaya	18	176	5'9.5"	Khabarovsk
Singapore	Annabelle Liang	23	169	5'6.5"	Singapore
Slovakia	Soňa Skoncová	22	174	5'8.5"	Prievidza
South Africa	Bokang Montjane	23	174	5'8.5"	Johannesburg
Spain	Melania Santiago	21	174	5'8.5"	Málaga
Sudan	Suna William	23	168	5'6"	Darfur
Tanzania	Illuminata James	24	176	5'9.5"	Mwanza
Thailand	Picha Nampradit	23	178	5'10"	Kanchanaburi
Turkey	Begüm Yılmaz	21	180	5'11"	Izmir
Uganda	Pierra Akwero	22	177	5'9.5"	Entebbe
United Kingdom	Chloe-Beth Morgan	23	171	5'7.5"	Cwmbran
USA	Aileen Jan Yap	21	170	5'6"	Houston
Venezuela	Laksmi Rodríguez	24	178	5'10"	Caracas
