Number	Name of the song	Singer	Drama	Kind of the song
01	有過去的女人	Miriam Yeung	La Femme Desperado	Ending theme
02	分手	Bernice Liu	The Brink of Law	Ending theme
03	黃沙中的戀人	Charmaine Sheh	The Dance of Passion	Ending theme
04	幸而	Myolie Wu	War and Destiny	Opening theme
05	Let It Flow	Stephy Tang	Love Guaranteed	Opening theme
06	發誓	Linda Chung	Legend of the Demigods	Ending theme
07	逐格重播	Sharon Chan	At Home With Love	Opening theme
08	偏愛	Kary Ng Stephy Tang	Love Bond	Ending theme
09	別怪他	Vivien Yeo	Revolving Doors of Vengeance	Ending theme
10	實情	Bernice Liu	Into Thin Air	Opening theme
