Model number	sSpec number	Frequency	Turbo	GPU frequency	Cores	L2 cache	L3 cache	I/O bus	Mult.	Memory	Voltage	Socket	Release date	Part number(s)	Release price ( USD )
standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power
Core i7-620M	SLBPD(C2)SLBTQ(K0)SLBPE(C2)SLBTR(K0)SLBZT(K0)	2.67 GHz	3/5	500–766 MHz	2	2 × 256 KB	4 MB	DMI	20×	2 × DDR3-1066	0.775–1.4V	SocketG1 BGA-1288	January 2010	CP80617003981AHCN80617003981AHCN80617006930AA	$332
Core i7-640M	SLBTN(K0)SLBTP(K0)SLBZU(K0)	2.8 GHz	3/5	500–766 MHz	2	2 × 256 KB	4 MB	DMI	21×	2 × DDR3-1066	0.775–1.4V	Socket G1BGA-1288	September 2010	CP80617004152AECN80617004152AECN80617006936AA	$346
standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded	standard power, embedded
Core i7-610E	SLBRZ(C2)SLBXX(K0)	2.53 GHz	3/5	500–766 MHz	2	2 × 256 KB	4 MB	DMI	19×	2 × DDR3-1066	0.775–1.4V	BGA-1288	January 2010	CN80617005745AB	$320
low power	low power	low power	low power	low power	low power	low power	low power	low power	low power	low power	low power	low power	low power	low power	low power
Core i7-620LM	SLBML(C2)SLBSU(K0)	2 GHz	4/6	266–566 MHz	2	2 × 256 KB	4 MB	DMI	15×	2 × DDR3-1066	0.75–1.4V	BGA-1288	January 2010	CN80617003879AD	$300
Core i7-640LM	SLBMK(C2)SLBSV(K0)	2.13 GHz	4/6	266–566 MHz	2	2 × 256 KB	4 MB	DMI	16×	2 × DDR3-1066	0.75–1.4V	BGA-1288	January 2010	CN80617003885AE	$332
Core i7-660LM	SLBSW(K0)	2.27 GHz	4/6	266–566 MHz	2	2 × 256 KB	4 MB	DMI	17×	2 × DDR3-1066	0.75–1.4V	BGA-1288	September 2010	CN80617004857AA	$346
low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded
Core i7-620LE	SLBP9(C2)SLBXH(K0)	2 GHz	4/6	266–566 MHz	2	2 × 256 KB	4 MB	DMI	15×	2 × DDR3-1066	0.75–1.4V	BGA-1288	January 2010	CN80617004455AB	$311
ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power
Core i7-620UM	SLBMN(C2)SLBSX(K0)	1.07 GHz	5/8	166–500 MHz	2	2 × 256 KB	4 MB	DMI	8×	2 × DDR3-800	0.725–1.4V	BGA-1288	January 2010	CN80617003882AE	$278
Core i7-640UM	SLBMM(C2)SLBSR(K0)	1.2 GHz	5/8	166–500 MHz	2	2 × 256 KB	4 MB	DMI	9×	2 × DDR3-800	0.725–1.4V	BGA-1288	January 2010	CN80617003888AD	$305
Core i7-660UM	SLBSS(K0)	1.33 GHz	5/8	166–500 MHz	2	2 × 256 KB	4 MB	DMI	10×	2 × DDR3-800	0.725–1.4V	BGA-1288	May 2010	CN80617005187AB	$317
Core i7-680UM	SLBST(K0)	1.47 GHz	5/8	166–500 MHz	2	2 × 256 KB	4 MB	DMI	11×	2 × DDR3-800	0.725–1.4V	BGA-1288	September 2010	CN80617004860AA	$317
ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded
Core i7-620UE	SLBPA(C2)SLBXJ(K0)	1.07 GHz	5/8	166–500 MHz	2	2 × 256 KB	4 MB	DMI	8×	2 × DDR3-800	0.725–1.4V	BGA-1288	January 2010	CN80617004458AB	$289
Core i7-660UE	SLBWV(K0)	1.33 GHz	5/8	166–500 MHz	2	2 × 256 KB	4 MB	DMI	10×	2 × DDR3-800	0.725–1.4V	BGA-1288	August 2010	CN80617006204AA	$301
