Date	Visitor	Score	Home	Decision	Attendance	Record
January 4	Philadelphia	5 – 3	NY Rangers	Myre	17,398	25–1–10
January 6	Philadelphia	4 – 2	Buffalo	Peeters	16,433	26–1–10
January 7	Philadelphia	1 – 7	Minnesota	Myre	15,962	26–2–10
January 10	Winnipeg	4 – 5	Philadelphia	Peeters	17,077	27–2–10
January 12	Philadelphia	3 – 4	Montreal	Myre	18,091	27–3–10
January 13	St. Louis	1 – 1	Philadelphia	Peeters	17,077	27–3–11
January 15	Washington	4 – 7	Philadelphia	Myre	17,077	28–3–11
January 17	Chicago	1 – 5	Philadelphia	Peeters	17,077	29–3–11
January 19	Philadelphia	4 – 4	Washington	Myre	18,130	29–3–12
January 22	Philadelphia	3 – 1	St. Louis	Peeters	17,453	30–3–12
January 23	Philadelphia	4 – 1	Chicago	Myre	17,160	31–3–12
January 25	Philadelphia	5 – 4	Winnipeg	Peeters	15,122	32–3–12
January 27	Philadelphia	5 – 3	Edmonton	Peeters	15,423	33–3–12
January 31	Minnesota	2 – 4	Philadelphia	St. Croix	17,077	34–3–12
